日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-06-16,27.9,27.9,27.9,27.9,740,4192100.0,0.0,262.81,20.21,0.33
2016-06-23,9.57,9.57,9.57,9.57,50,100000.0,0.0,-65.7,-18.33,0.02
2016-11-04,9.57,11.57,19.57,9.57,2500,5400000.0,104.49,20.9,2.0,1.12
2016-12-12,0.57,29.57,29.57,0.57,17600,1789000.0,250.65,155.57,18.0,7.86
2017-01-12,27.9,27.9,27.9,27.9,810,2294730.0,0.0,-5.65,-1.67,0.36
2017-01-13,27.9,27.9,27.9,27.9,670,1898110.0,0.0,0.0,0.0,0.3
2017-06-01,13.74,13.74,13.74,13.74,10,14170.0,0.0,-50.75,-14.16,0.0
2017-06-02,6.66,6.66,6.66,6.66,7000,4963000.0,0.0,-51.53,-7.08,3.12
2017-06-05,6.66,6.66,6.66,6.66,11800,8366200.0,0.0,0.0,0.0,5.27
2017-06-28,13.75,13.75,13.75,13.75,10,14180.0,0.0,106.46,7.09,0.0
2017-06-29,27.9,27.9,27.9,27.9,10,28330.0,0.0,102.91,14.15,0.0
2017-08-30,47.57,47.57,47.57,47.57,10,48000.0,0.0,70.5,19.67,0.0
2017-08-31,48.07,48.07,48.07,48.07,10,48500.0,0.0,1.05,0.5,0.0
2019-02-18,7.57,7.57,7.57,7.57,100,80000.0,0.0,-84.25,-40.5,0.04
2019-06-24,11.57,11.57,11.57,11.57,10,12000.0,0.0,52.84,4.0,0.0
2019-07-11,15.57,15.57,15.57,15.57,10,16000.0,0.0,34.57,4.0,0.0
2020-04-01,14.57,14.57,14.57,14.57,1,1500.0,0.0,-6.42,-1.0,0.0
2020-04-03,14.57,14.57,14.57,14.57,3,4500.0,0.0,0.0,0.0,0.0
2020-04-07,14.57,14.57,14.57,14.57,23,34500.0,0.0,0.0,0.0,0.01
2020-04-08,14.57,14.57,14.57,14.57,2,3000.0,0.0,0.0,0.0,0.0
2020-04-09,14.57,14.57,14.57,14.57,6,9000.0,0.0,0.0,0.0,0.0
2020-04-10,14.57,14.57,14.57,14.57,5,7500.0,0.0,0.0,0.0,0.0
2020-04-13,14.57,14.57,14.57,14.57,3,4500.0,0.0,0.0,0.0,0.0
2020-04-14,14.55,14.55,14.55,14.55,3,4494.0,0.0,-0.14,-0.02,0.0
2020-04-15,14.55,14.55,14.55,14.55,2,2996.0,0.0,0.0,0.0,0.0
2020-04-16,14.57,14.57,14.57,14.57,1,1500.0,0.0,0.14,0.02,0.0
2020-04-17,14.45,14.45,14.45,14.45,17,25296.0,0.0,-0.82,-0.12,0.01
2020-04-20,14.37,14.37,14.37,14.37,20,29600.0,0.0,-0.55,-0.08,0.01
2020-06-29,14.58,15.47,15.57,14.58,700,1104850.0,6.89,7.65,1.1,0.31
2020-06-30,15.47,15.47,15.47,15.47,675,1073250.0,0.0,0.0,0.0,0.3
2020-07-01,15.47,15.22,15.47,14.87,103,162455.0,3.88,-1.62,-0.25,0.05
2020-07-02,15.58,16.07,16.07,15.58,85,138260.0,3.22,5.58,0.85,0.04
