日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2002-03-18,1.43,1.34,1.62,1.12,3726997,1675433327.0,-86.21,331.03,1.92,73.8
2002-03-19,1.32,1.69,1.71,1.31,1712934,805447854.0,29.85,26.12,0.35,33.92
2002-03-20,1.72,1.77,1.85,1.66,1616100,797286319.0,11.24,4.73,0.08,32.0
2002-03-21,1.77,1.79,1.86,1.7,609529,302213419.0,9.04,1.13,0.02,12.07
2002-03-22,1.78,1.79,1.8,1.69,456523,224958502.0,6.15,0.0,0.0,9.04
2002-03-25,1.77,1.83,1.86,1.77,397582,199111413.0,5.03,2.23,0.04,7.87
2002-03-26,1.81,1.73,1.82,1.7,374420,184260367.0,6.56,-5.46,-0.1,7.41
2002-03-27,1.71,1.7,1.75,1.64,271065,131861764.0,6.36,-1.73,-0.03,5.37
2002-03-28,1.7,1.71,1.8,1.66,199427,97948322.0,8.24,0.59,0.01,3.95
2002-03-29,1.69,1.57,1.69,1.53,363469,174128597.0,9.36,-8.19,-0.14,7.2
2002-04-01,1.56,1.6,1.64,1.54,150341,71744892.0,6.37,1.91,0.03,2.98
2002-04-02,1.6,1.47,1.62,1.46,169478,79540764.0,10.0,-8.13,-0.13,3.36
2002-04-03,1.47,1.52,1.57,1.47,111157,52157200.0,6.8,3.4,0.05,2.2
2002-04-04,1.52,1.58,1.65,1.46,162528,77310612.0,12.5,3.95,0.06,3.22
2002-04-05,1.64,1.62,1.72,1.6,239438,115887301.0,7.59,2.53,0.04,4.74
2002-04-08,1.59,1.61,1.65,1.58,55683,26653552.0,4.32,-0.62,-0.01,1.1
2002-04-09,1.62,1.68,1.71,1.58,159637,77242503.0,8.07,4.35,0.07,3.16
2002-04-10,1.68,1.63,1.68,1.6,120936,58127765.0,4.76,-2.98,-0.05,2.39
2002-04-11,1.63,1.6,1.7,1.59,109127,52680812.0,6.75,-1.84,-0.03,2.16
2002-04-12,1.6,1.57,1.63,1.52,214562,101569328.0,6.88,-1.88,-0.03,4.25
2002-04-15,1.57,1.55,1.59,1.5,116850,54944915.0,5.73,-1.27,-0.02,2.31
2002-04-16,1.54,1.45,1.55,1.42,166963,77550625.0,8.39,-6.45,-0.1,3.31
2002-04-17,1.45,1.5,1.5,1.41,104073,48187119.0,6.21,3.45,0.05,2.06
2002-04-18,1.5,1.4,1.5,1.37,143141,65898504.0,8.67,-6.67,-0.1,2.83
2002-04-19,1.38,1.48,1.49,1.36,111615,51383093.0,9.29,5.71,0.08,2.21
2002-04-22,1.47,1.45,1.51,1.4,60076,27816818.0,7.43,-2.03,-0.03,1.19
2002-04-23,1.42,1.43,1.5,1.42,49612,22989437.0,5.52,-1.38,-0.02,0.98
2002-04-24,1.42,1.43,1.47,1.39,58761,27035330.0,5.59,0.0,0.0,1.16
2002-04-25,1.43,1.49,1.51,1.43,103526,48225275.0,5.59,4.2,0.06,2.05
2002-04-26,1.5,1.54,1.55,1.49,109297,51481948.0,4.03,3.36,0.05,2.16
2002-04-29,1.56,1.57,1.57,1.5,142622,67350656.0,4.55,1.95,0.03,2.82
2002-04-30,1.59,1.6,1.65,1.53,173602,82889875.0,7.64,1.91,0.03,3.44
2002-05-08,1.62,1.56,1.62,1.55,80531,38244300.0,4.38,-2.5,-0.04,1.59
2002-05-09,1.54,1.54,1.56,1.52,78666,37150480.0,2.56,-1.28,-0.02,1.56
2002-05-10,1.54,1.46,1.54,1.45,77024,35996768.0,5.84,-5.19,-0.08,1.53
2002-05-13,1.45,1.48,1.49,1.42,54203,25106697.0,4.79,1.37,0.02,1.07
2002-05-14,1.47,1.43,1.49,1.42,55348,25599654.0,4.73,-3.38,-0.05,1.1
2002-05-15,1.41,1.42,1.47,1.41,58292,26851220.0,4.2,-0.7,-0.01,1.15
2002-05-16,1.41,1.26,1.43,1.23,185692,83427083.0,14.08,-11.27,-0.16,3.68
2002-05-17,1.26,1.36,1.37,1.26,145041,65308577.0,8.73,7.94,0.1,2.87
2002-05-20,1.35,1.32,1.35,1.24,59252,26442078.0,8.09,-2.94,-0.04,1.17
2002-05-21,1.45,1.41,1.47,1.36,145769,66893329.0,8.33,6.82,0.09,2.89
2002-05-22,1.42,1.32,1.42,1.31,75511,34165870.0,7.8,-6.38,-0.09,1.5
2002-05-23,1.34,1.31,1.39,1.29,78411,35338404.0,7.58,-0.76,-0.01,1.55
2002-05-24,1.31,1.21,1.32,1.15,96479,42390911.0,12.98,-7.63,-0.1,1.91
2002-05-27,1.23,1.26,1.27,1.21,35448,15656877.0,4.96,4.13,0.05,0.7
2002-05-28,1.27,1.28,1.31,1.25,23077,10295786.0,4.76,1.59,0.02,0.46
2002-05-29,1.28,1.15,1.28,1.13,109199,47379763.0,11.72,-10.16,-0.13,2.16
2002-05-30,1.15,1.17,1.19,1.1,65964,28566804.0,7.83,1.74,0.02,1.31
2002-05-31,1.18,1.17,1.2,1.15,36372,15840761.0,4.27,0.0,0.0,0.72
2002-06-03,1.15,1.09,1.15,1.07,55839,23855773.0,6.84,-6.84,-0.08,1.11
2002-06-04,1.08,1.09,1.12,1.01,70796,30027521.0,10.09,0.0,0.0,1.4
2002-06-05,1.07,1.04,1.08,1.02,34290,14464475.0,5.5,-4.59,-0.05,0.68
2002-06-07,1.22,1.27,1.32,1.14,364906,161498250.0,17.31,22.12,0.23,7.23
2002-06-10,1.24,1.2,1.26,1.17,73335,32158793.0,7.09,-5.51,-0.07,1.45
2002-06-11,1.2,1.22,1.27,1.18,48547,21405650.0,7.5,1.67,0.02,0.96
2002-06-12,1.22,1.2,1.23,1.18,39447,17271977.0,4.1,-1.64,-0.02,0.78
2002-06-13,1.2,1.16,1.23,1.16,37026,16178965.0,5.83,-3.33,-0.04,0.73
2002-06-14,1.15,1.11,1.16,1.1,49832,21466805.0,5.17,-4.31,-0.05,0.99
2002-06-17,1.08,1.13,1.13,1.06,32346,13854070.0,6.31,1.8,0.02,0.64
2002-06-18,1.11,1.18,1.2,1.11,47439,20636651.0,7.96,4.42,0.05,0.94
2002-06-19,1.17,1.13,1.18,1.12,23824,10289746.0,5.08,-4.24,-0.05,0.47
2002-06-20,1.14,1.15,1.21,1.14,37819,16489820.0,6.19,1.77,0.02,0.75
2002-06-21,1.17,1.29,1.32,1.16,187514,83572136.0,13.91,12.17,0.14,3.71
2002-06-24,1.74,1.74,1.74,1.63,1066367,523733107.0,8.53,34.88,0.45,21.12
2002-06-25,2.0,2.23,2.23,1.87,1637192,878919020.0,20.69,28.16,0.49,32.42
2002-06-26,2.12,2.2,2.36,2.02,1444769,775754885.0,15.25,-1.35,-0.03,28.61
2002-06-27,2.12,2.6,2.74,2.11,1341627,751833000.0,28.64,18.18,0.4,26.57
2002-06-28,2.52,2.48,2.63,2.32,1193364,674922992.0,11.92,-4.62,-0.12,23.63
2002-07-01,2.46,2.42,2.67,2.33,547833,309440408.0,13.71,-2.42,-0.06,10.85
2002-07-02,2.38,2.44,2.52,2.34,258431,145117256.0,7.44,0.83,0.02,5.12
2002-07-03,2.45,2.41,2.5,2.38,195552,109676636.0,4.92,-1.23,-0.03,3.87
2002-07-04,2.43,2.3,2.46,2.27,269766,149374111.0,7.88,-4.56,-0.11,5.34
2002-07-05,2.28,2.34,2.36,2.22,230950,126207240.0,6.09,1.74,0.04,4.57
2002-07-08,2.33,2.31,2.41,2.27,126228,69632302.0,5.98,-1.28,-0.03,2.5
2002-07-09,2.32,2.41,2.55,2.29,371665,208907458.0,11.26,4.33,0.1,7.36
