日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-10-29,27.86,33.61,33.61,27.86,3421,21985357.0,24.93,45.75,10.55,0.91
2019-10-30,31.3,30.16,31.3,30.16,15230,89098718.0,3.39,-10.26,-3.45,4.05
2019-10-31,27.05,27.05,27.05,27.05,25200,131266800.0,0.0,-10.31,-3.11,6.71
2019-11-01,24.92,27.09,29.24,24.87,150910,772134496.0,16.16,0.15,0.04,40.15
2019-11-04,25.94,25.94,27.0,25.5,102344,513128704.0,5.54,-4.25,-1.15,27.23
2019-11-05,25.81,25.76,26.51,25.68,67379,337006240.0,3.2,-0.69,-0.18,17.93
2019-11-06,25.92,24.34,25.92,24.05,96209,460540704.0,7.26,-5.51,-1.42,25.6
2019-11-07,24.3,24.68,25.02,23.62,71557,337766496.0,5.75,1.4,0.34,19.04
2019-11-08,25.01,24.84,25.66,24.78,67921,329999280.0,3.57,0.65,0.16,18.07
2019-11-11,24.23,23.74,24.5,23.63,51632,239120198.0,3.5,-4.43,-1.1,13.74
2019-11-12,23.68,24.11,24.15,23.67,35288,163509480.0,2.02,1.56,0.37,9.39
2019-11-13,23.84,24.68,25.01,23.84,49195,232814093.0,4.85,2.36,0.57,13.09
2019-11-14,24.48,24.3,24.8,24.06,41072,193205667.0,3.0,-1.54,-0.38,10.93
2019-11-15,24.1,23.24,24.2,23.18,45225,207299311.0,4.2,-4.36,-1.06,12.03
2019-11-18,23.35,23.83,23.92,23.35,33290,152574180.0,2.45,2.54,0.59,8.86
2019-11-19,23.74,24.12,24.17,23.63,38834,179706500.0,2.27,1.22,0.29,10.33
2019-11-20,24.14,24.18,24.47,23.97,44298,207472097.0,2.07,0.25,0.06,11.79
2019-11-21,23.9,25.24,26.14,23.53,91969,445548592.0,10.79,4.38,1.06,24.47
2019-11-22,25.01,24.64,25.31,24.27,60389,288514880.0,4.12,-2.38,-0.6,16.07
2019-11-25,24.58,23.99,24.59,23.58,39711,183386033.0,4.1,-2.64,-0.65,10.57
2019-11-26,23.92,23.74,24.26,23.68,28469,131888082.0,2.42,-1.04,-0.25,7.57
2019-11-27,23.77,24.58,25.01,23.66,50167,236978067.0,5.69,3.54,0.84,13.35
2019-11-28,24.48,24.68,24.96,24.22,42793,203513324.0,3.01,0.41,0.1,11.39
2019-11-29,24.68,25.45,25.72,24.48,64462,314034992.0,5.02,3.12,0.77,17.15
2019-12-02,25.5,25.35,25.88,24.97,48430,236241076.0,3.58,-0.39,-0.1,12.89
2019-12-03,25.1,25.13,25.41,24.98,32184,156463622.0,1.7,-0.87,-0.22,8.56
2019-12-04,24.76,24.09,24.86,23.76,55866,261948219.0,4.38,-4.14,-1.04,14.86
2019-12-05,24.13,24.28,24.3,23.84,34877,162505569.0,1.91,0.79,0.19,9.28
2019-12-06,24.26,24.03,24.31,23.95,27712,128988370.0,1.48,-1.03,-0.25,7.37
2019-12-09,24.03,23.85,24.15,23.72,29247,134913391.0,1.79,-0.75,-0.18,7.78
2019-12-10,23.79,24.02,24.18,23.6,34614,159978244.0,2.43,0.71,0.17,9.21
2019-12-11,23.99,23.81,23.99,23.74,24080,110919842.0,1.04,-0.87,-0.21,6.41
2019-12-12,23.77,23.32,23.91,23.22,38270,173710798.0,2.9,-2.06,-0.49,10.18
2019-12-13,23.56,24.04,24.18,23.45,55238,256068754.0,3.13,3.09,0.72,14.7
2019-12-16,24.14,24.19,24.32,23.87,43250,201348178.0,1.87,0.62,0.15,11.51
2019-12-17,24.16,24.19,24.24,23.95,47259,220027312.0,1.2,0.0,0.0,12.57
2019-12-18,24.2,24.32,24.68,24.04,52660,247612533.0,2.65,0.54,0.13,14.01
2019-12-19,24.35,23.98,24.35,23.91,37591,174956812.0,1.81,-1.4,-0.34,10.0
2019-12-20,23.97,23.7,24.07,23.68,29889,137619994.0,1.63,-1.17,-0.28,7.95
2019-12-23,23.64,23.33,23.66,23.25,22038,100200321.0,1.73,-1.56,-0.37,5.86
2019-12-24,23.41,23.55,23.62,23.36,16782,76256165.0,1.11,0.94,0.22,4.47
2019-12-25,23.47,23.51,23.68,23.45,17459,79596568.0,0.98,-0.17,-0.04,4.65
2019-12-26,23.47,23.72,23.75,23.44,21604,98785050.0,1.32,0.89,0.21,5.75
2019-12-27,23.71,23.71,23.98,23.67,28632,131863465.0,1.31,-0.04,-0.01,7.62
2019-12-30,23.57,23.84,23.97,23.08,27072,123651495.0,3.75,0.55,0.13,7.2
2019-12-31,23.75,23.74,23.92,23.65,17860,82061015.0,1.13,-0.42,-0.1,4.75
2020-01-02,23.83,24.05,24.21,23.7,31975,148267259.0,2.15,1.31,0.31,8.51
2020-01-03,24.08,23.92,24.41,23.91,32256,150293850.0,2.08,-0.54,-0.13,8.58
2020-01-06,23.79,23.61,23.82,23.49,30410,139104703.0,1.38,-1.3,-0.31,8.09
2020-01-07,23.62,24.21,24.21,23.61,31152,143631814.0,2.54,2.54,0.6,8.29
2020-01-08,24.16,24.82,25.92,24.06,89563,434628464.0,7.68,2.52,0.61,23.83
2020-01-09,24.84,24.92,25.5,24.84,42400,204962879.0,2.66,0.4,0.1,11.28
2020-01-10,25.08,25.15,25.33,24.47,42685,205284031.0,3.45,0.92,0.23,11.36
2020-01-13,25.13,25.49,25.76,24.79,35332,172815902.0,3.86,1.35,0.34,9.4
2020-01-14,25.44,26.11,26.94,25.44,52038,263625337.0,5.88,2.43,0.62,13.85
2020-01-15,26.15,25.95,26.72,25.54,33108,166046894.0,4.52,-0.61,-0.16,8.81
2020-01-16,26.14,25.38,26.15,25.23,29875,147431486.0,3.55,-2.2,-0.57,7.95
2020-01-17,25.43,25.49,25.68,25.14,24023,117799656.0,2.13,0.43,0.11,6.39
2020-01-20,25.51,25.58,25.64,25.15,27508,134739632.0,1.92,0.35,0.09,7.32
2020-01-21,25.55,24.82,25.55,24.77,25636,123840971.0,3.05,-2.97,-0.76,6.82
2020-01-22,24.65,24.77,25.02,24.35,20029,95368969.0,2.7,-0.2,-0.05,5.33
2020-01-23,24.47,23.95,24.99,23.52,26277,123461906.0,5.93,-3.31,-0.82,6.99
2020-02-03,21.46,21.46,21.46,21.46,3676,15317892.0,0.0,-10.4,-2.49,0.98
2020-02-04,19.22,21.23,21.27,19.22,44569,176006996.0,9.55,-1.07,-0.23,11.86
2020-02-05,21.02,21.44,21.9,20.97,27279,114007570.0,4.38,0.99,0.21,7.26
2020-02-06,21.18,21.73,21.89,21.06,23798,99490824.0,3.87,1.35,0.29,6.33
2020-02-07,21.6,22.72,23.09,21.55,27793,120568118.0,7.09,4.56,0.99,7.4
2020-02-10,22.5,22.52,22.7,22.25,16093,69989984.0,1.98,-0.88,-0.2,4.28
2020-02-11,22.39,22.35,22.92,22.25,13294,58005435.0,2.98,-0.75,-0.17,3.54
2020-02-12,22.25,22.41,22.5,22.23,11362,49270063.0,1.21,0.27,0.06,3.02
2020-02-13,22.41,21.64,22.45,21.62,20346,86609466.0,3.7,-3.44,-0.77,5.41
2020-02-14,21.53,21.54,21.73,21.37,12066,50519646.0,1.66,-0.46,-0.1,3.21
2020-02-17,21.53,22.35,22.44,21.48,15949,68212491.0,4.46,3.76,0.81,4.24
2020-02-18,22.43,22.69,22.81,22.27,17118,74945100.0,2.42,1.52,0.34,4.55
2020-02-19,23.03,23.77,24.03,22.95,44738,204527384.0,4.76,4.76,1.08,11.9
2020-02-20,23.86,26.24,26.24,23.86,71161,348795472.0,10.01,10.39,2.47,18.93
2020-02-21,26.92,26.45,27.53,25.72,77557,399688336.0,6.9,0.8,0.21,20.64
2020-02-24,26.16,25.65,26.99,25.18,56738,283054336.0,6.84,-3.02,-0.8,15.1
2020-02-25,25.13,25.06,25.38,24.12,41100,197391882.0,4.91,-2.3,-0.59,10.94
2020-02-26,24.75,25.6,26.59,24.51,46866,233477454.0,8.3,2.15,0.54,12.47
2020-02-27,25.77,25.3,25.84,24.97,23910,117000591.0,3.4,-1.17,-0.3,6.36
2020-02-28,23.78,22.93,24.32,22.86,34039,155779470.0,5.77,-9.37,-2.37,9.06
2020-03-02,23.08,23.7,23.96,22.83,32852,148907041.0,4.93,3.36,0.77,8.74
2020-03-03,24.13,23.53,24.36,23.41,27071,125075220.0,4.01,-0.72,-0.17,7.2
2020-03-04,23.15,23.47,23.61,23.06,17515,79142542.0,2.34,-0.25,-0.06,4.66
2020-03-05,23.75,23.83,23.92,23.34,27179,124313193.0,2.47,1.53,0.36,7.23
2020-03-06,23.56,23.37,23.6,23.35,16122,73145786.0,1.05,-1.93,-0.46,4.29
2020-03-09,22.83,22.14,23.13,22.09,24080,105025266.0,4.45,-5.26,-1.23,6.41
2020-03-10,21.92,22.44,22.46,21.32,20848,88715419.0,5.15,1.36,0.3,5.55
2020-03-11,22.43,22.01,22.63,21.99,13169,57173416.0,2.85,-1.92,-0.43,3.5
2020-03-12,21.58,21.15,21.64,20.91,25366,104739955.0,3.32,-3.91,-0.86,6.75
2020-03-13,20.08,20.35,20.54,19.51,34856,135126350.0,4.87,-3.78,-0.8,9.27
2020-03-16,20.46,19.35,20.72,19.29,23987,92900848.0,7.03,-4.91,-1.0,6.38
2020-03-17,19.31,19.51,19.65,18.63,18803,70482741.0,5.27,0.83,0.16,5.0
2020-03-18,19.76,19.0,19.92,19.0,16223,61707503.0,4.72,-2.61,-0.51,4.32
2020-03-19,18.94,19.16,19.33,18.69,15817,58510400.0,3.37,0.84,0.16,4.21
2020-03-20,19.33,19.43,19.61,19.07,14929,56333136.0,2.82,1.41,0.27,3.97
2020-03-23,18.68,18.26,18.84,18.16,19546,70845904.0,3.5,-6.02,-1.17,5.2
2020-03-24,18.52,18.46,18.77,17.83,17286,61894513.0,5.15,1.1,0.2,4.6
2020-03-25,18.82,18.85,18.93,18.61,16365,60091980.0,1.73,2.11,0.39,4.35
2020-03-26,18.79,19.11,19.22,18.64,17138,63403947.0,3.08,1.38,0.26,4.56
2020-03-27,19.31,18.8,19.41,18.74,13666,50782289.0,3.51,-1.62,-0.31,3.64
2020-03-30,18.41,18.05,18.41,17.72,18395,64709724.0,3.67,-3.99,-0.75,4.89
2020-03-31,18.19,17.84,18.32,17.83,10950,38647228.0,2.71,-1.16,-0.21,2.91
2020-04-01,17.84,18.05,18.12,17.72,10656,37350427.0,2.24,1.18,0.21,2.84
2020-04-02,17.85,18.32,18.33,17.84,11569,41006159.0,2.71,1.5,0.27,3.08
2020-04-03,18.19,18.2,18.4,18.19,9854,35238034.0,1.15,-0.66,-0.12,2.62
2020-04-07,18.5,18.8,18.86,18.49,15217,55434240.0,2.03,3.3,0.6,4.05
2020-04-08,18.72,18.7,18.84,18.52,10958,39976259.0,1.7,-0.53,-0.1,2.92
2020-04-09,18.8,18.64,18.84,18.62,8807,32158421.0,1.18,-0.32,-0.06,2.34
