日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-05-12,18.44,18.44,18.44,18.44,95,380950.0,0.0,51.27,6.25,0.06
2017-05-15,20.48,20.48,20.48,20.48,27,119097.0,0.0,11.06,2.04,0.02
2017-05-16,22.73,22.73,22.73,22.73,49,237748.0,0.0,10.99,2.25,0.03
2017-05-17,25.21,25.21,25.21,25.21,136,724231.0,0.0,10.91,2.48,0.08
2017-05-18,27.93,27.93,27.93,27.93,460,2700836.0,0.0,10.79,2.72,0.27
2017-05-19,30.93,30.93,30.93,30.93,1276,8240408.0,0.0,10.74,3.0,0.75
2017-05-22,34.2,32.68,34.2,30.99,110327,749730080.0,10.38,5.66,1.75,64.9
2017-05-23,33.44,34.88,35.99,32.61,90792,646230784.0,10.34,6.73,2.2,53.41
2017-05-24,33.69,35.8,36.5,32.67,74550,532490912.0,10.98,2.64,0.92,43.85
2017-05-25,36.24,37.76,38.29,35.23,64259,486481344.0,8.55,5.47,1.96,37.8
2017-05-26,36.24,36.27,37.62,35.28,57313,430887984.0,6.2,-3.95,-1.49,33.71
2017-05-31,36.91,33.69,38.48,33.59,70664,533200512.0,13.48,-7.11,-2.58,41.57
2017-06-01,32.78,31.52,33.58,31.46,45264,306835552.0,6.29,-6.44,-2.17,26.63
2017-06-02,31.12,31.98,32.67,30.66,27709,183142152.0,6.38,1.46,0.46,16.3
2017-06-05,32.56,31.84,33.12,31.76,24765,167291447.0,4.25,-0.44,-0.14,14.57
2017-06-06,31.22,30.59,31.4,29.88,27920,179069341.0,4.77,-3.93,-1.25,16.42
2017-06-07,30.22,32.02,32.42,30.22,28401,187586210.0,7.19,4.67,1.43,16.71
2017-06-08,31.91,32.77,33.41,31.91,33647,228115217.0,4.68,2.34,0.75,19.79
2017-06-09,32.27,32.46,32.66,31.58,15774,105477009.0,3.3,-0.95,-0.31,9.28
2017-06-12,31.98,31.19,32.01,31.07,13228,86890626.0,2.9,-3.91,-1.27,7.78
2017-06-13,31.14,31.98,32.36,31.14,10527,69875999.0,3.91,2.53,0.79,6.19
2017-06-14,32.01,31.86,32.51,31.76,10137,67810664.0,2.35,-0.38,-0.12,5.96
2017-06-15,31.69,32.31,32.84,31.66,16193,109470996.0,3.7,1.41,0.45,9.53
2017-06-16,32.24,32.1,32.78,31.43,12232,81460911.0,4.18,-0.65,-0.21,7.2
2017-06-19,32.01,32.14,32.74,31.78,11009,73649745.0,2.99,0.12,0.04,6.48
2017-06-20,32.25,31.49,32.25,31.46,9034,59925134.0,2.46,-2.02,-0.65,5.31
2017-06-21,31.53,31.47,31.71,31.24,4617,30280372.0,1.49,-0.06,-0.02,2.72
2017-06-22,31.64,30.78,32.08,30.73,9182,60599253.0,4.29,-2.19,-0.69,5.4
2017-06-23,30.79,30.96,31.29,30.22,6390,40956092.0,3.48,0.58,0.18,3.76
2017-06-26,30.93,31.24,31.5,30.71,14240,92639603.0,2.55,0.9,0.28,8.38
2017-06-27,31.25,31.24,31.73,31.14,7512,49275185.0,1.89,0.0,0.0,4.42
2017-06-28,31.18,31.03,31.39,30.84,4997,32424831.0,1.76,-0.67,-0.21,2.94
2017-06-29,31.24,31.18,31.42,30.94,5041,32693310.0,1.55,0.48,0.15,2.97
2017-06-30,31.09,31.7,31.94,30.94,8221,54121311.0,3.21,1.67,0.52,4.84
2017-07-03,32.31,33.83,33.85,31.91,21370,146642180.0,6.12,6.72,2.13,12.57
2017-07-04,36.27,35.77,37.16,34.41,43367,320162432.0,8.13,5.73,1.94,25.51
2017-07-05,35.64,38.58,39.06,34.96,36461,277361568.0,11.46,7.86,2.81,21.45
2017-07-06,37.78,37.9,38.29,37.02,18426,143170894.0,3.29,-1.76,-0.68,10.84
2017-07-07,37.79,38.04,39.29,37.52,16601,131084383.0,4.67,0.37,0.14,9.77
2017-07-10,37.53,36.94,38.15,36.09,17084,130411984.0,5.42,-2.89,-1.1,10.05
2017-07-11,36.83,36.27,36.83,35.74,10365,77747300.0,2.95,-1.81,-0.67,6.1
2017-07-12,36.28,37.93,38.03,35.99,12018,92037754.0,5.62,4.58,1.66,7.07
2017-07-13,37.66,35.67,38.88,35.49,15467,118404252.0,8.94,-5.96,-2.26,9.1
2017-07-14,35.38,35.68,35.99,34.66,10451,76652562.0,3.73,0.03,0.01,6.15
2017-07-17,35.17,34.12,35.17,33.18,14236,101352601.0,5.58,-4.37,-1.56,8.37
2017-07-18,33.95,34.35,34.99,33.7,7447,52898327.0,3.78,0.67,0.23,4.38
2017-07-19,33.95,34.64,34.71,33.3,8518,60303800.0,4.1,0.84,0.29,5.01
2017-07-20,34.51,34.15,35.28,34.05,6087,43713742.0,3.55,-1.41,-0.49,3.58
2017-07-21,33.95,33.6,34.66,32.94,8832,61573165.0,5.04,-1.61,-0.55,5.2
2017-07-24,33.39,35.28,35.38,33.09,7997,56698786.0,6.82,5.0,1.68,4.7
2017-07-25,35.17,35.3,35.63,35.08,5112,37393783.0,1.56,0.06,0.02,3.01
2017-07-26,35.38,35.35,35.53,34.49,5189,37824113.0,2.95,0.14,0.05,3.05
2017-07-27,35.25,37.03,37.62,35.02,12393,94038055.0,7.36,4.75,1.68,7.29
2017-07-28,36.88,37.26,37.74,36.65,7375,56863268.0,2.94,0.62,0.23,4.34
2017-07-31,37.26,37.04,38.08,36.91,4769,36715463.0,3.14,-0.59,-0.22,2.81
2017-08-01,36.88,36.43,37.39,35.79,6007,45152519.0,4.32,-1.65,-0.61,3.53
2017-08-02,36.26,35.51,36.68,35.31,5225,38890216.0,3.76,-2.53,-0.92,3.07
2017-08-03,35.17,35.73,36.42,35.03,4502,33486331.0,3.91,0.62,0.22,2.65
2017-08-04,35.73,35.69,35.99,35.38,4093,30279303.0,1.71,-0.11,-0.04,2.41
2017-08-07,36.64,37.26,38.27,36.34,10247,79131668.0,5.41,4.4,1.57,6.03
2017-08-08,36.5,37.34,37.6,36.37,8003,61136536.0,3.3,0.21,0.08,4.71
2017-08-09,37.62,37.47,38.61,37.09,8014,62111049.0,4.07,0.35,0.13,4.71
2017-08-10,36.14,35.51,36.36,35.49,11897,88587531.0,2.32,-5.23,-1.96,7.0
2017-08-11,35.07,35.2,35.84,34.83,5274,38745820.0,2.84,-0.87,-0.31,3.1
2017-08-14,35.56,35.67,35.93,35.17,4105,30339101.0,2.16,1.34,0.47,2.41
2017-08-15,35.58,35.82,36.18,35.36,3956,29299932.0,2.3,0.42,0.15,2.33
2017-08-16,35.82,35.85,36.23,35.48,8301,61863273.0,2.09,0.08,0.03,4.88
2017-08-17,35.73,35.4,35.99,35.22,5556,40838188.0,2.15,-1.26,-0.45,3.27
2017-08-18,35.28,34.43,35.42,34.2,5836,42039242.0,3.45,-2.74,-0.97,3.43
2017-08-21,34.49,34.95,34.97,34.16,2646,19060372.0,2.35,1.51,0.52,1.56
2017-08-22,34.93,34.28,35.1,34.19,5264,37623230.0,2.6,-1.92,-0.67,3.1
2017-08-23,34.31,34.58,34.81,34.31,3794,27224313.0,1.46,0.88,0.3,2.23
2017-08-24,34.69,34.33,34.69,33.96,3745,26602857.0,2.11,-0.72,-0.25,2.2
2017-08-25,34.41,34.57,34.71,34.11,3389,24219710.0,1.75,0.7,0.24,1.99
2017-08-28,34.67,35.68,35.91,34.67,9003,65967640.0,3.59,3.21,1.11,5.3
2017-08-29,35.76,36.7,37.52,35.59,13662,103008722.0,5.41,2.86,1.02,8.04
2017-08-30,36.45,36.18,36.92,35.75,6776,50886619.0,3.19,-1.42,-0.52,3.99
2017-08-31,36.14,37.51,38.22,35.83,12367,95655454.0,6.61,3.68,1.33,7.27
2017-09-01,37.27,38.48,39.12,37.1,12358,97650535.0,5.39,2.59,0.97,7.27
2017-09-04,38.29,37.73,39.82,37.27,12498,98710365.0,6.63,-1.95,-0.75,7.35
