日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-04-16,002390,5.51,4.87,5.51,4.71,117636,631936554.52,27.49,67.35,1.96,67.76
2010-04-19,002390,4.62,4.35,4.67,4.35,53967,259785448.56,6.57,-10.68,-0.52,31.09
2010-04-20,002390,4.37,4.15,4.4,3.91,34139,154033380.42,11.26,-4.6,-0.2,19.67
2010-04-21,002390,4.11,4.52,4.6,4.09,42100,201050988.43,12.29,8.92,0.37,24.25
2010-04-22,002390,4.49,4.73,4.83,4.46,44176,225236268.02,8.19,4.65,0.21,25.45
2010-04-23,002390,4.78,4.62,4.86,4.6,36358,185336781.9,5.5,-2.33,-0.11,20.94
2010-04-26,002390,4.62,4.92,4.96,4.39,36819,188948896.17,12.34,6.49,0.3,21.21
2010-04-27,002390,4.88,5.0,5.04,4.61,46845,247559984.4,8.74,1.63,0.08,26.98
2010-04-28,002390,5.01,4.91,5.31,4.81,42360,231541675.39,10.0,-1.8,-0.09,24.4
2010-04-29,002390,4.81,4.53,5.04,4.46,26775,138774148.58,11.81,-7.74,-0.38,15.42
2010-04-30,002390,4.47,4.22,4.49,4.14,21692,101739189.26,7.73,-6.84,-0.31,12.5
2010-05-04,002390,4.15,4.51,4.56,4.04,22253,106274125.64,12.32,6.87,0.29,12.82
2010-05-05,002390,4.41,4.62,4.68,4.36,20940,104144556.83,7.1,2.44,0.11,12.06
2010-05-06,002390,4.61,4.48,4.7,4.46,15331,75650410.08,5.19,-3.03,-0.14,8.83
2010-05-07,002390,4.45,4.62,4.73,4.32,25941,129731092.67,9.15,3.13,0.14,14.94
2010-05-10,002390,4.56,4.15,4.66,4.12,22484,105163455.29,11.69,-10.17,-0.47,12.95
2010-05-11,002390,4.2,3.91,4.26,3.89,14115,62625268.73,8.92,-5.78,-0.24,8.13
2010-05-12,002390,3.74,3.61,3.93,3.52,12603,51296905.21,10.49,-7.67,-0.3,7.26
2010-05-13,002390,3.57,3.79,3.82,3.53,12015,48946791.16,8.03,4.99,0.18,6.92
2010-05-14,002390,3.76,3.79,3.88,3.67,10250,42786855.58,5.54,0.0,0.0,5.9
2010-05-17,002390,3.71,3.51,3.79,3.51,9169,36911703.1,7.39,-7.39,-0.28,5.28
2010-05-18,002390,3.52,3.49,3.56,3.29,13774,52219525.56,7.69,-0.57,-0.02,7.93
2010-05-19,002390,3.43,3.61,3.64,3.35,14074,55531332.76,8.31,3.44,0.12,8.11
2010-05-20,002390,3.56,3.56,3.65,3.51,12154,48448604.38,3.88,-1.39,-0.05,7.0
2010-05-21,002390,3.37,3.64,3.65,3.37,10038,39795658.77,7.87,2.25,0.08,5.78
2010-05-24,002390,3.66,3.8,3.83,3.62,15824,65473269.61,5.77,4.4,0.16,9.12
2010-05-25,002390,3.74,3.63,3.78,3.61,9737,39781003.36,4.47,-4.47,-0.17,5.61
2010-05-26,002390,3.62,3.51,3.71,3.5,9759,38893236.11,5.79,-3.31,-0.12,5.62
2010-05-27,002390,3.5,3.62,3.68,3.43,10273,40534784.08,7.12,3.13,0.11,5.92
2010-05-28,002390,3.69,3.8,3.86,3.65,16192,67138256.26,5.8,4.97,0.18,9.33
2010-05-31,002390,3.77,3.65,3.84,3.64,14937,62254045.15,5.26,-3.95,-0.15,8.6
2010-06-01,002390,3.58,3.46,3.61,3.4,11768,45533075.4,5.75,-5.21,-0.19,6.78
2010-06-02,002390,3.45,3.54,3.56,3.43,8237,32129469.12,3.76,2.31,0.08,4.74
2010-06-03,002390,3.59,3.5,3.6,3.5,6816,26857615.78,2.82,-1.13,-0.04,3.93
2010-06-04,002390,3.49,3.52,3.53,3.41,5568,21497923.06,3.43,0.57,0.02,3.21
2010-06-07,002390,3.41,3.56,3.57,3.4,8037,31362511.08,4.83,1.14,0.04,4.63
2010-06-08,002390,3.54,3.65,3.73,3.54,11508,46557391.81,5.34,2.53,0.09,6.63
2010-06-09,002390,3.68,3.7,3.73,3.64,9965,40661199.96,2.47,1.37,0.05,5.74
2010-06-10,002390,3.69,3.8,3.85,3.69,9521,39780998.82,4.32,2.7,0.1,5.48
2010-06-11,002390,3.79,3.73,3.86,3.69,10008,41523414.32,4.47,-1.84,-0.07,5.77
2010-06-17,002390,3.76,3.56,3.79,3.53,11852,48372760.04,6.97,-4.56,-0.17,6.83
2010-06-18,002390,3.46,3.33,3.51,3.31,11972,45262238.07,5.62,-6.46,-0.23,6.9
2010-06-21,002390,3.27,3.31,3.37,3.19,10215,37706791.19,5.41,-0.6,-0.02,5.88
2010-06-22,002390,3.32,3.32,3.38,3.29,5695,21241635.75,2.72,0.3,0.01,3.28
2010-06-23,002390,3.31,3.32,3.36,3.26,5746,21197511.42,3.01,0.0,0.0,3.31
2010-06-24,002390,3.31,3.43,3.47,3.31,8731,33203175.57,4.82,3.31,0.11,5.03
2010-06-28,002390,3.38,3.26,3.38,3.24,5810,21418137.98,4.08,-4.96,-0.17,3.35
2010-06-29,002390,3.25,2.94,3.28,2.92,10523,36220719.61,11.04,-9.82,-0.32,6.06
2010-06-30,002390,2.91,2.96,2.99,2.84,4995,16459569.76,5.1,0.68,0.02,2.88
2010-07-01,002390,2.96,2.9,3.0,2.89,4362,14520466.31,3.72,-2.03,-0.06,2.51
2010-07-02,002390,2.87,2.8,2.91,2.74,5002,16002480.1,5.86,-3.45,-0.1,2.88
2010-07-05,002390,2.67,2.78,2.81,2.67,3974,12565541.89,5.0,-0.71,-0.02,2.29
2010-07-06,002390,2.77,2.88,2.89,2.7,5923,19247860.13,6.83,3.6,0.1,3.41
2010-07-07,002390,2.89,2.85,2.91,2.85,5528,17980187.76,2.08,-1.04,-0.03,3.18
2010-07-08,002390,2.86,2.91,2.91,2.84,4711,15417680.95,2.46,2.11,0.06,2.71
2010-07-09,002390,2.89,2.97,2.99,2.87,7619,25431189.79,4.12,2.06,0.06,4.39
2010-07-12,002390,2.98,2.98,3.04,2.95,5293,17886981.07,3.03,0.34,0.01,3.05
2010-07-13,002390,2.96,2.86,2.98,2.82,4622,15137893.64,5.37,-4.03,-0.12,2.66
2010-07-14,002390,2.89,2.87,2.91,2.85,4105,13426275.37,2.1,0.35,0.01,2.36
2010-07-15,002390,2.86,2.81,2.94,2.81,4219,13772115.78,4.53,-2.09,-0.06,2.43
2010-07-16,002390,2.68,2.78,2.8,2.67,23760,73498795.17,4.63,-1.07,-0.03,10.95
2010-07-19,002390,2.71,2.83,2.84,2.68,19226,60062212.21,5.76,1.8,0.05,8.86
2010-07-20,002390,2.81,2.97,2.97,2.81,25326,83440987.3,5.65,4.95,0.14,11.67
2010-07-21,002390,3.01,3.02,3.09,2.96,24573,83605643.78,4.38,1.68,0.05,11.32
2010-07-22,002390,3.0,3.05,3.06,2.97,13426,45880829.24,2.98,0.99,0.03,6.19
2010-07-23,002390,3.07,3.04,3.07,2.99,10080,34431293.69,2.62,-0.33,-0.01,4.65
2010-07-26,002390,3.03,3.07,3.09,2.99,14448,49454130.0,3.29,0.99,0.03,6.66
2010-07-27,002390,3.07,3.0,3.07,2.99,10712,36505105.34,2.61,-2.28,-0.07,4.94
2010-07-29,002390,3.07,3.14,3.16,3.06,27696,96815772.02,3.33,4.67,0.14,12.76
2010-07-30,002390,3.11,3.12,3.15,3.08,11568,40492247.23,2.23,-0.64,-0.02,5.33
2010-08-02,002390,3.12,3.23,3.25,3.11,14448,51490876.24,4.49,3.53,0.11,6.66
2010-08-03,002390,3.21,3.42,3.53,3.19,37233,138765265.61,10.53,5.88,0.19,17.16
2010-08-04,002390,3.41,3.51,3.56,3.36,35114,134940393.77,5.85,2.63,0.09,16.18
2010-08-05,002390,3.48,3.44,3.49,3.39,23766,90912470.96,2.85,-1.99,-0.07,10.95
2010-08-06,002390,3.35,3.37,3.38,3.23,33757,124557038.58,4.36,-2.03,-0.07,15.56
2010-08-09,002390,3.34,3.4,3.42,3.32,18573,70246245.06,2.97,0.89,0.03,8.56
2010-08-10,002390,3.4,3.28,3.44,3.26,18605,69832292.95,5.29,-3.53,-0.12,8.57
2010-08-11,002390,3.26,3.27,3.31,3.22,10985,40130895.81,2.74,-0.3,-0.01,5.06
2010-08-12,002390,3.23,3.29,3.33,3.22,9753,35737023.35,3.36,0.61,0.02,4.49
2010-08-13,002390,3.28,3.39,3.39,3.26,14144,52604546.15,3.95,3.04,0.1,6.52
2010-08-16,002390,3.39,3.49,3.52,3.39,23836,92302260.87,3.83,2.95,0.1,10.98
2010-08-17,002390,3.48,3.44,3.51,3.41,16803,64471854.64,2.87,-1.43,-0.05,7.74
2010-08-18,002390,3.46,3.5,3.59,3.45,18364,71768282.37,4.07,1.74,0.06,8.46
2010-08-19,002390,3.5,3.49,3.53,3.47,11653,45278926.89,1.71,-0.29,-0.01,5.37
2010-08-20,002390,3.48,3.32,3.48,3.31,14231,53369801.02,4.87,-4.87,-0.17,6.56
2010-08-23,002390,3.31,3.28,3.35,3.27,8073,29860532.61,2.41,-1.2,-0.04,3.72
2010-08-24,002390,3.28,3.33,3.36,3.28,6876,25609197.23,2.44,1.52,0.05,3.17
2010-08-25,002390,3.31,3.23,3.36,3.22,6816,25179876.71,4.2,-3.0,-0.1,3.14
2010-08-26,002390,3.24,3.3,3.32,3.24,9146,33615688.95,2.48,2.17,0.07,4.21
2010-08-27,002390,3.32,3.44,3.44,3.31,16159,61212136.54,3.94,4.24,0.14,7.45
2010-08-30,002390,3.46,3.59,3.61,3.46,23244,91832322.19,4.36,4.36,0.15,10.71
2010-08-31,002390,3.56,3.56,3.59,3.51,13897,54686769.19,2.23,-0.84,-0.03,6.4
2010-09-01,002390,3.57,3.45,3.58,3.39,16792,64895476.94,5.34,-3.09,-0.11,7.74
2010-09-02,002390,3.49,3.56,3.61,3.43,19110,74819633.27,5.22,3.19,0.11,8.81
2010-09-03,002390,3.57,3.68,3.71,3.53,20390,82156823.03,5.06,3.37,0.12,9.4
2010-09-06,002390,3.71,3.58,3.71,3.56,14154,56630823.9,4.08,-2.72,-0.1,6.52
2010-09-07,002390,3.57,3.61,3.61,3.5,10181,40002598.33,3.07,0.84,0.03,4.69
2010-09-08,002390,3.58,3.61,3.64,3.55,9014,36011410.89,2.49,0.0,0.0,4.15
2010-09-09,002390,3.62,3.61,3.78,3.58,16719,68166867.57,5.54,0.0,0.0,7.7
2010-09-10,002390,3.58,3.76,3.81,3.58,18150,74313426.07,6.37,4.16,0.15,8.36
2010-09-13,002390,3.73,3.83,3.9,3.71,15119,63255305.02,5.05,1.86,0.07,6.97
2010-09-14,002390,3.88,3.8,3.88,3.77,8178,34390030.96,2.87,-0.78,-0.03,3.77
2010-09-15,002390,3.8,3.61,3.81,3.6,12638,51894152.08,5.53,-5.0,-0.19,5.82
2010-09-16,002390,3.64,3.49,3.68,3.41,12994,50718489.11,7.48,-3.32,-0.12,5.99
2010-09-17,002390,3.5,3.5,3.55,3.47,7462,29070712.22,2.29,0.29,0.01,3.44
2010-09-20,002390,3.49,3.51,3.55,3.48,8055,31505641.85,2.0,0.29,0.01,3.71
2010-09-21,002390,3.51,3.37,3.54,3.31,7085,26925618.92,6.55,-3.99,-0.14,3.27
2010-09-27,002390,3.5,3.65,3.68,3.42,10598,42006253.34,7.72,8.31,0.28,4.88
2010-09-28,002390,3.65,3.69,3.77,3.63,14861,61057725.2,3.84,1.1,0.04,6.85
2010-09-29,002390,3.68,3.61,3.68,3.57,10910,43688738.8,2.98,-2.17,-0.08,5.03
2010-09-30,002390,3.61,3.59,3.65,3.55,7050,28105816.64,2.77,-0.55,-0.02,3.25
2010-10-08,002390,3.61,3.62,3.69,3.56,8138,32742588.38,3.62,0.84,0.03,3.75
2010-10-11,002390,3.66,3.51,3.67,3.47,13139,51636598.16,5.52,-3.04,-0.11,6.05
2010-10-12,002390,3.51,3.46,3.51,3.41,8258,31761070.21,2.85,-1.42,-0.05,3.81
2010-10-13,002390,3.46,3.48,3.49,3.42,5909,22656681.79,2.02,0.58,0.02,2.72
2010-10-14,002390,3.48,3.37,3.51,3.35,10975,41616692.12,4.6,-3.16,-0.11,5.06
2010-10-15,002390,3.36,3.25,3.37,3.25,15887,58662372.02,3.56,-3.56,-0.12,7.32
2010-10-18,002390,3.25,3.24,3.25,3.06,8956,31647723.3,5.85,-0.31,-0.01,4.13
2010-10-19,002390,3.23,3.37,3.37,3.21,7492,27846196.64,4.94,4.01,0.13,3.45
2010-10-20,002390,3.3,3.36,3.46,3.28,8616,32593183.48,5.34,-0.3,-0.01,3.97
2010-10-21,002390,3.31,3.3,3.35,3.24,11336,41777360.96,3.27,-1.79,-0.06,5.22
2010-10-22,002390,3.3,3.36,3.37,3.3,8355,31131746.77,2.12,1.82,0.06,3.85
2010-10-25,002390,3.36,3.42,3.43,3.3,9881,37260367.15,3.87,1.79,0.06,4.55
2010-10-26,002390,3.41,3.41,3.43,3.33,10925,41218726.99,2.92,-0.29,-0.01,5.03
2010-10-27,002390,3.42,3.38,3.52,3.35,11332,43518698.04,4.99,-0.88,-0.03,5.22
2010-10-28,002390,3.36,3.35,3.41,3.33,5793,21703578.79,2.37,-0.89,-0.03,2.67
2010-10-29,002390,3.35,3.37,3.38,3.3,7186,26812201.58,2.39,0.6,0.02,3.31
2010-11-01,002390,3.36,3.47,3.47,3.35,12045,46098973.42,3.56,2.97,0.1,5.55
2010-11-02,002390,3.47,3.41,3.48,3.4,9831,37611160.37,2.31,-1.73,-0.06,4.53
