日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-03-16,6.09,5.69,6.56,5.59,81116,544975719.0,19.56,14.72,0.73,75.81
2011-03-17,5.8,6.0,6.24,5.8,49945,344415562.0,7.73,5.45,0.31,46.68
2011-03-18,6.13,6.13,6.17,5.99,23632,165599174.0,3.0,2.17,0.13,22.09
2011-03-21,6.08,6.05,6.33,6.03,20609,145993707.0,4.89,-1.31,-0.08,19.26
2011-03-22,6.01,5.76,6.04,5.64,23476,158294659.0,6.61,-4.79,-0.29,21.94
2011-03-23,5.87,5.92,6.01,5.83,16156,110218357.0,3.13,2.78,0.16,15.1
2011-03-24,6.05,6.07,6.21,6.02,17237,121128723.0,3.21,2.53,0.15,16.11
2011-03-25,6.07,6.22,6.42,5.89,14149,100597808.0,8.73,2.47,0.15,13.22
2011-03-28,6.17,5.89,6.26,5.79,12728,88238772.0,7.56,-5.31,-0.33,11.9
2011-03-29,5.79,5.6,5.85,5.4,15688,103018687.0,7.64,-4.92,-0.29,14.66
2011-03-30,5.54,5.27,5.58,5.23,10839,68116492.0,6.25,-5.89,-0.33,10.13
2011-03-31,5.26,5.36,5.4,5.26,6097,37949049.0,2.66,1.71,0.09,5.7
2011-04-01,5.32,5.33,5.39,5.11,5134,31583161.0,5.22,-0.56,-0.03,4.8
2011-04-06,5.29,5.29,5.29,5.12,4666,28420122.0,3.19,-0.75,-0.04,4.36
2011-04-07,5.28,5.36,5.37,5.22,2832,17617833.0,2.84,1.32,0.07,2.65
2011-04-08,5.36,5.38,5.4,5.3,2710,16950585.0,1.87,0.37,0.02,2.53
2011-04-11,5.36,5.05,5.44,5.04,7619,46178884.0,7.43,-6.13,-0.33,7.12
2011-04-12,5.05,4.98,5.06,4.95,3316,19507387.0,2.18,-1.39,-0.07,3.1
2011-04-13,5.0,5.09,5.13,4.98,2638,15702484.0,3.01,2.21,0.11,2.47
2011-04-14,5.09,5.11,5.11,4.98,3501,20694493.0,2.55,0.39,0.02,3.27
2011-04-15,5.09,4.91,5.11,4.87,4068,23704798.0,4.7,-3.91,-0.2,3.8
2011-04-18,4.88,4.82,4.91,4.78,4685,26742906.0,2.65,-1.83,-0.09,4.38
2011-04-19,4.75,4.89,4.93,4.75,3215,18412902.0,3.73,1.45,0.07,3.0
2011-04-20,4.91,4.94,5.01,4.83,3221,18758805.0,3.68,1.02,0.05,3.01
2011-04-21,4.84,4.87,4.97,4.84,2281,13204981.0,2.63,-1.42,-0.07,2.13
2011-04-22,4.97,5.11,5.22,4.96,7121,42683143.0,5.34,4.93,0.24,6.66
2011-04-25,5.04,5.18,5.2,4.99,3206,19205901.0,4.11,1.37,0.07,3.0
2011-04-26,5.16,5.24,5.4,5.13,4802,29720669.0,5.21,1.16,0.06,4.49
2011-04-27,5.23,4.92,5.3,4.91,4784,28316424.0,7.44,-6.11,-0.32,4.47
2011-04-28,5.0,4.72,5.06,4.69,4768,27217567.0,7.52,-4.07,-0.2,4.46
2011-05-03,4.77,4.71,4.78,4.7,2658,14932168.0,1.69,-0.21,-0.01,2.48
2011-05-04,4.68,4.53,4.72,4.5,3199,17373928.0,4.67,-3.82,-0.18,2.99
2011-05-05,4.5,4.55,4.6,4.48,1353,7308084.0,2.65,0.44,0.02,1.26
2011-05-06,4.52,4.53,4.56,4.45,1406,7550860.0,2.42,-0.44,-0.02,1.31
2011-05-09,4.53,4.58,4.67,4.53,1830,10000872.0,3.09,1.1,0.05,1.71
2011-05-10,4.61,4.61,4.66,4.56,1240,6807713.0,2.18,0.66,0.03,1.16
2011-05-11,4.61,4.49,4.61,4.47,2253,12132011.0,3.04,-2.6,-0.12,2.11
2011-05-12,4.48,4.43,4.52,4.43,1768,9427410.0,2.0,-1.34,-0.06,1.65
2011-05-13,4.47,4.49,4.53,4.39,1336,7147793.0,3.16,1.35,0.06,1.25
2011-05-16,4.5,4.49,4.58,4.49,1236,6659144.0,2.0,0.0,0.0,1.15
2011-05-17,4.46,4.6,4.63,4.46,2188,11898144.0,3.79,2.45,0.11,2.05
2011-05-18,4.63,4.61,4.68,4.57,2083,11444040.0,2.39,0.22,0.01,1.95
2011-05-19,4.6,4.57,4.68,4.57,1212,6666427.0,2.39,-0.87,-0.04,1.13
2011-05-20,4.56,4.42,4.57,4.41,2258,12052884.0,3.5,-3.28,-0.15,2.11
2011-05-23,4.43,4.15,4.43,4.15,2852,14561648.0,6.33,-6.11,-0.27,2.67
2011-05-24,4.15,4.22,4.27,4.03,1822,9111359.0,5.78,1.69,0.07,1.7
2011-05-25,4.21,4.11,4.26,4.08,1267,6388386.0,4.27,-2.61,-0.11,1.18
2011-05-26,4.17,4.02,4.19,4.02,1058,5164893.0,4.14,-2.19,-0.09,0.99
2011-05-27,4.02,3.96,4.04,3.94,1240,5934430.0,2.49,-1.49,-0.06,1.16
2011-05-30,3.96,3.96,4.07,3.92,971,4660076.0,3.79,0.0,0.0,0.91
2011-05-31,3.98,4.06,4.07,3.96,804,3880997.0,2.78,2.53,0.1,0.75
2011-06-01,4.05,4.08,4.09,4.02,880,4278623.0,1.72,0.49,0.02,0.82
2011-06-02,3.98,4.0,4.04,3.96,946,4532219.0,1.96,-1.96,-0.08,0.88
2011-06-03,4.03,4.1,4.15,4.01,1620,7962526.0,3.5,2.5,0.1,1.51
2011-06-07,4.06,4.29,4.57,4.06,2010,10162115.0,12.44,4.63,0.19,1.88
2011-06-08,4.31,4.26,4.32,4.19,1628,8242828.0,3.03,-0.7,-0.03,1.52
2011-06-09,4.21,4.14,4.28,4.14,1232,6171106.0,3.29,-2.82,-0.12,1.15
2011-06-10,4.13,4.1,4.17,4.02,1225,6007021.0,3.62,-0.97,-0.04,1.14
2011-06-13,4.06,4.09,4.14,4.01,1228,5990103.0,3.17,-0.24,-0.01,1.15
2011-06-14,4.14,4.18,4.19,4.05,1356,6721281.0,3.42,2.2,0.09,1.27
2011-06-15,4.19,4.04,4.19,4.02,1998,9796814.0,4.07,-3.35,-0.14,1.87
2011-06-16,4.07,4.04,4.14,4.0,2072,10091150.0,3.47,0.0,0.0,1.56
2011-06-17,4.03,3.72,4.03,3.71,3492,16167484.0,7.92,-7.92,-0.32,2.63
2011-06-20,3.65,3.63,3.69,3.62,1716,7609221.0,1.88,-2.42,-0.09,1.29
2011-06-21,3.61,3.68,3.71,3.6,1923,8546602.0,3.03,1.38,0.05,1.45
2011-06-22,3.7,3.6,3.71,3.6,2557,11329366.0,2.99,-2.17,-0.08,1.92
2011-06-23,3.6,3.74,3.75,3.53,5568,24808153.0,6.11,3.89,0.14,4.19
2011-06-24,3.73,3.82,3.84,3.69,4854,22187848.0,4.01,2.14,0.08,3.65
2011-06-27,3.82,3.84,3.9,3.78,6085,28220241.0,3.14,0.52,0.02,4.58
2011-06-28,3.84,3.81,3.84,3.75,2998,13714411.0,2.34,-0.78,-0.03,2.25
2011-06-29,3.81,3.76,3.86,3.76,3576,16477499.0,2.62,-1.31,-0.05,2.69
2011-06-30,3.76,3.81,3.88,3.7,4772,21784185.0,4.79,1.33,0.05,3.59
