日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-12-22,605500,12.7,12.7,12.7,11.1,207727,556614720.0,18.45,46.48,4.03,41.55
2020-12-23,605500,11.38,11.38,11.96,11.38,106018,263451196.0,4.57,-10.39,-1.32,21.2
2020-12-24,605500,10.37,10.38,10.79,10.2,157504,356742864.0,5.18,-8.79,-1.0,31.5
2020-12-25,605500,10.27,10.46,11.08,10.07,111020,256040119.0,9.73,0.77,0.08,22.2
2020-12-28,605500,10.18,9.44,10.18,9.41,129742,272678944.0,7.36,-9.75,-1.02,25.95
2020-12-29,605500,9.28,9.0,9.28,8.94,93021,184144371.0,3.6,-4.66,-0.44,18.6
2020-12-30,605500,8.89,9.15,9.41,8.89,84096,166984201.0,5.78,1.67,0.15,16.82
2020-12-31,605500,9.08,9.0,9.16,8.94,59998,118612033.0,2.4,-1.64,-0.15,12.0
2021-01-04,605500,9.03,9.01,9.09,8.91,55312,108893899.0,2.0,0.11,0.01,11.06
2021-01-05,605500,8.98,9.02,9.12,8.93,52767,103823181.0,2.11,0.11,0.01,10.55
2021-01-06,605500,9.09,9.34,9.6,9.02,94686,193386887.0,6.43,3.55,0.32,18.94
2021-01-07,605500,9.17,8.71,9.17,8.7,81662,157869467.0,5.03,-6.75,-0.63,16.33
2021-01-08,605500,8.63,8.65,8.83,8.45,48774,91959358.0,4.36,-0.69,-0.06,9.75
2021-01-11,605500,8.55,8.18,8.62,8.16,57739,105802314.0,5.32,-5.43,-0.47,11.55
2021-01-12,605500,8.12,8.27,8.49,8.1,42847,78292582.0,4.77,1.1,0.09,8.57
2021-01-13,605500,8.29,8.02,8.32,7.95,44535,78624654.0,4.47,-3.02,-0.25,8.91
2021-01-14,605500,8.01,8.06,8.18,7.9,39938,70696100.0,3.49,0.5,0.04,7.99
2021-01-15,605500,7.99,8.91,8.91,7.99,70120,132892423.0,11.41,10.55,0.85,14.02
2021-01-18,605500,9.17,8.99,9.85,8.96,133618,270434112.0,9.99,0.9,0.08,26.72
2021-01-19,605500,9.28,8.8,9.31,8.68,82941,162705871.0,7.01,-2.11,-0.19,16.59
2021-01-20,605500,8.67,8.53,8.76,8.44,63717,119255944.0,3.64,-3.07,-0.27,12.74
2021-01-21,605500,8.51,8.54,8.61,8.45,39648,74046249.0,1.88,0.12,0.01,7.93
2021-01-22,605500,8.54,8.3,8.54,8.26,37993,69501816.0,3.28,-2.81,-0.24,7.6
2021-01-25,605500,8.27,8.59,8.62,8.14,46758,85976985.0,5.78,3.49,0.29,9.35
2021-01-26,605500,8.71,8.77,9.14,8.59,85673,165402492.0,6.4,2.1,0.18,17.13
2021-01-27,605500,8.59,8.9,9.09,8.41,67104,129136159.0,7.75,1.48,0.13,13.42
2021-01-28,605500,8.64,8.49,8.81,8.46,46081,86915586.0,3.93,-4.61,-0.41,9.22
2021-01-29,605500,8.53,8.29,8.58,8.22,35645,65039507.0,4.24,-2.36,-0.2,7.13
2021-02-01,605500,8.31,8.77,8.82,8.24,51901,97494854.0,7.0,5.79,0.48,10.38
2021-02-02,605500,8.93,8.52,8.93,8.48,43997,83197079.0,5.13,-2.85,-0.25,8.8
2021-02-03,605500,8.4,8.61,8.68,8.4,34942,65367799.0,3.29,1.06,0.09,6.99
2021-02-04,605500,8.54,8.26,8.54,8.21,34265,62573318.0,3.83,-4.07,-0.35,6.85
2021-02-05,605500,8.27,8.28,8.39,8.23,22392,40708691.0,1.94,0.24,0.02,4.48
2021-02-08,605500,8.33,8.0,8.35,7.97,26485,47232483.0,4.59,-3.38,-0.28,5.3
2021-02-09,605500,8.0,8.07,8.13,7.9,20227,35765878.0,2.88,0.88,0.07,4.05
2021-02-10,605500,8.08,8.06,8.2,8.03,18945,33644414.0,2.11,-0.12,-0.01,3.79
2021-02-18,605500,8.2,8.27,8.29,8.11,23431,42330510.0,2.23,2.61,0.21,4.69
2021-02-19,605500,8.27,8.45,8.49,8.2,31168,57436662.0,3.51,2.18,0.18,6.23
2021-02-22,605500,8.46,8.63,8.9,8.44,50092,94840062.0,5.44,2.13,0.18,10.02
2021-02-23,605500,8.61,8.7,8.89,8.55,53074,101673910.0,3.94,0.81,0.07,10.61
2021-02-24,605500,8.7,8.47,8.7,8.38,41266,77122296.0,3.68,-2.64,-0.23,8.25
2021-02-25,605500,8.48,8.33,8.54,8.31,26414,48543894.0,2.72,-1.65,-0.14,5.28
2021-02-26,605500,8.24,8.35,8.43,8.17,24293,44378391.0,3.12,0.24,0.02,4.86
2021-03-01,605500,8.37,8.59,8.67,8.34,33750,63185101.0,3.95,2.87,0.24,6.75
2021-03-02,605500,8.58,8.43,8.62,8.38,28096,52010086.0,2.79,-1.86,-0.16,5.62
2021-03-03,605500,8.45,8.69,8.73,8.42,48076,90763665.0,3.68,3.08,0.26,9.62
2021-03-04,605500,8.61,8.62,8.69,8.54,30685,57704650.0,1.73,-0.81,-0.07,6.14
2021-03-05,605500,8.57,8.78,8.8,8.55,41269,78610207.0,2.9,1.86,0.16,8.25
2021-03-08,605500,8.79,8.55,8.83,8.55,38265,72528988.0,3.19,-2.62,-0.23,7.65
2021-03-09,605500,8.49,8.22,8.55,8.11,30653,55804442.0,5.15,-3.86,-0.33,6.13
2021-03-10,605500,8.25,8.16,8.34,8.16,16815,30277435.0,2.19,-0.73,-0.06,3.36
2021-03-11,605500,8.17,8.28,8.33,8.17,16022,29034850.0,1.96,1.47,0.12,3.2
2021-03-12,605500,8.3,8.31,8.36,8.2,15494,28126835.0,1.93,0.36,0.03,3.1
2021-03-15,605500,8.33,8.24,8.33,8.17,15936,28795203.0,1.93,-0.84,-0.07,3.19
2021-03-16,605500,8.24,8.28,8.28,8.18,12900,23331951.0,1.21,0.49,0.04,2.58
2021-03-17,605500,8.3,8.37,8.41,8.25,18077,32993485.0,1.93,1.09,0.09,3.62
2021-03-18,605500,8.37,8.54,8.69,8.31,38715,72196776.0,4.54,2.03,0.17,7.74
2021-03-19,605500,8.43,8.65,8.67,8.35,45782,85819689.0,3.75,1.29,0.11,9.16
2021-03-22,605500,8.69,8.82,8.92,8.56,63917,122873352.0,4.16,1.97,0.17,12.78
2021-03-23,605500,8.74,8.58,8.81,8.5,40509,76354502.0,3.51,-2.72,-0.24,8.1
2021-03-24,605500,8.49,8.91,9.11,8.46,71992,139404338.0,7.58,3.85,0.33,14.4
2021-03-25,605500,8.69,8.78,8.87,8.64,43677,83671981.0,2.58,-1.46,-0.13,8.74
2021-03-26,605500,8.73,9.24,9.71,8.72,166610,341931904.0,11.28,5.24,0.46,33.32
2021-03-29,605500,9.12,9.48,9.69,9.08,152848,311728640.0,6.6,2.6,0.24,30.57
2021-03-30,605500,9.18,9.03,9.31,9.03,95887,191110782.0,2.95,-4.75,-0.45,19.18
2021-03-31,605500,8.98,9.01,9.21,8.93,51465,102055402.0,3.1,-0.22,-0.02,10.29
2021-04-01,605500,8.97,8.86,9.06,8.71,53928,104086344.0,3.88,-1.66,-0.15,10.79
2021-04-02,605500,8.93,9.04,9.31,8.8,61559,121383253.0,5.76,2.03,0.18,12.31
2021-04-06,605500,9.0,9.24,9.34,8.95,69612,139604739.0,4.31,2.21,0.2,13.92
2021-04-07,605500,9.21,9.51,9.63,9.12,88284,180543502.0,5.52,2.92,0.27,17.66
2021-04-08,605500,9.49,9.1,9.6,9.08,82984,168609203.0,5.47,-4.31,-0.41,16.6
2021-04-09,605500,8.99,9.21,9.32,8.98,52006,103971463.0,3.74,1.21,0.11,10.4
2021-04-12,605500,9.22,8.96,9.27,8.81,51185,100030547.0,4.99,-2.71,-0.25,10.24
2021-04-13,605500,8.93,8.57,8.95,8.54,49482,93880274.0,4.58,-4.35,-0.39,9.9
2021-04-14,605500,8.54,8.74,8.85,8.53,34456,65634606.0,3.73,1.98,0.17,6.89
2021-04-15,605500,8.72,8.76,8.79,8.61,28730,54671070.0,2.06,0.23,0.02,5.75
2021-04-16,605500,8.75,8.78,8.82,8.7,29290,56151655.0,1.37,0.23,0.02,5.86
2021-04-19,605500,8.75,8.79,8.85,8.69,31827,61063348.0,1.82,0.11,0.01,6.37
2021-04-20,605500,8.76,8.62,8.87,8.6,43783,83641475.0,3.07,-1.93,-0.17,8.76
2021-04-21,605500,8.62,8.73,8.77,8.43,35137,66176849.0,3.94,1.28,0.11,7.03
2021-04-22,605500,8.72,8.66,8.76,8.59,25840,48942671.0,1.95,-0.8,-0.07,5.17
2021-04-23,605500,8.62,8.53,8.66,8.45,24683,46015408.0,2.42,-1.5,-0.13,4.94
2021-04-26,605500,8.52,8.59,8.63,8.52,18178,34122359.0,1.29,0.7,0.06,3.64
2021-04-27,605500,8.71,8.68,8.75,8.57,28055,53051388.0,2.1,1.05,0.09,5.61
2021-04-28,605500,8.67,8.57,8.67,8.48,18098,33860095.0,2.19,-1.27,-0.11,3.62
2021-04-29,605500,8.73,8.6,8.77,8.59,27753,52672177.0,2.1,0.35,0.03,5.55
2021-04-30,605500,8.58,8.52,8.66,8.51,18199,34143996.0,1.74,-0.93,-0.08,3.64
2021-05-06,605500,8.55,8.42,8.58,8.41,19055,35379370.0,2.0,-1.17,-0.1,3.81
2021-05-07,605500,8.42,8.34,8.51,8.33,19781,36531763.0,2.14,-0.95,-0.08,3.96
2021-05-10,605500,8.35,8.22,8.39,8.19,22525,40727900.0,2.4,-1.44,-0.12,4.5
2021-05-11,605500,8.16,8.25,8.25,8.06,17404,31161911.0,2.31,0.36,0.03,3.48
2021-05-12,605500,8.23,8.29,8.29,8.2,10965,19857508.0,1.09,0.48,0.04,2.19
2021-05-13,605500,8.27,8.23,8.31,8.22,12033,21786754.0,1.09,-0.72,-0.06,2.41
2021-05-14,605500,8.22,8.32,8.34,8.22,13310,24246792.0,1.46,1.09,0.09,2.66
2021-05-17,605500,8.32,8.28,8.34,8.24,11435,20752730.0,1.2,-0.48,-0.04,2.29
2021-05-18,605500,8.3,8.32,8.33,8.26,12132,22031376.0,0.85,0.48,0.04,2.43
2021-05-19,605500,8.32,8.27,8.32,8.26,10631,19294915.0,0.72,-0.6,-0.05,2.13
2021-05-20,605500,8.26,8.13,8.28,8.12,16722,29956564.0,1.93,-1.69,-0.14,3.34
2021-05-21,605500,8.15,8.35,8.42,8.13,29088,53180209.0,3.57,2.71,0.22,5.82
2021-05-24,605500,8.44,8.58,8.67,8.44,46986,88302694.0,2.75,2.75,0.23,9.4
2021-05-25,605500,8.54,8.5,8.63,8.41,28250,52352045.0,2.56,-0.93,-0.08,5.65
2021-05-26,605500,8.5,8.85,8.92,8.46,67326,129009440.0,5.41,4.12,0.35,13.47
2021-05-27,605500,8.73,8.82,8.83,8.64,41096,78426505.0,2.15,-0.34,-0.03,8.22
2021-05-28,605500,8.78,8.55,8.78,8.54,36184,68283186.0,2.72,-3.06,-0.27,7.24
2021-05-31,605500,8.53,8.54,8.64,8.48,20682,37866618.0,1.87,-0.12,-0.01,4.14
2021-06-01,605500,8.52,8.47,8.52,8.41,24852,45159252.0,1.29,-0.82,-0.07,4.97
2021-06-02,605500,8.46,8.45,8.59,8.41,27208,49713504.0,2.13,-0.24,-0.02,5.44
2021-06-03,605500,8.46,8.48,8.5,8.42,18226,33173582.0,0.95,0.36,0.03,3.65
2021-06-04,605500,8.49,8.46,8.51,8.43,16104,29288096.0,0.94,-0.24,-0.02,3.22
2021-06-07,605500,8.44,8.38,8.46,8.33,20407,36788109.0,1.54,-0.95,-0.08,4.08
2021-06-08,605500,8.36,8.38,8.43,8.32,13765,24761812.0,1.31,0.0,0.0,2.75
2021-06-09,605500,8.37,8.44,8.44,8.32,17441,31408881.0,1.43,0.72,0.06,3.49
2021-06-10,605500,8.42,8.56,8.61,8.41,26297,48090839.0,2.37,1.42,0.12,5.26
2021-06-11,605500,8.61,8.43,8.61,8.43,21669,39635423.0,2.1,-1.52,-0.13,4.33
2021-06-15,605500,8.38,8.22,8.38,8.18,21569,38295965.0,2.37,-2.49,-0.21,4.31
2021-06-16,605500,8.22,8.24,8.31,8.18,9315,16502008.0,1.58,0.24,0.02,1.86
2021-06-17,605500,8.22,8.27,8.3,8.22,10528,18718088.0,0.97,0.36,0.03,2.11
2021-06-18,605500,8.26,8.25,8.3,8.19,11946,21136348.0,1.33,-0.24,-0.02,2.39
2021-06-21,605500,8.22,8.3,8.31,8.2,10114,18010867.0,1.33,0.61,0.05,2.02
2021-06-22,605500,8.3,8.33,8.41,8.27,14058,25158753.0,1.69,0.36,0.03,2.81
2021-06-23,605500,8.35,8.27,8.35,8.24,14341,25523158.0,1.32,-0.72,-0.06,2.87
2021-06-24,605500,8.28,8.22,8.3,8.22,12147,21511553.0,0.97,-0.6,-0.05,2.43
2021-06-25,605500,8.25,8.25,8.26,8.2,10364,18355859.0,0.73,0.36,0.03,2.07
2021-06-28,605500,8.25,8.22,8.25,8.18,11800,20878306.0,0.85,-0.36,-0.03,2.36
2021-06-29,605500,8.22,8.15,8.23,8.12,16257,28545161.0,1.34,-0.85,-0.07,3.25
2021-06-30,605500,8.15,8.21,8.31,8.08,15666,27572519.0,2.82,0.74,0.06,3.13
2021-07-01,605500,8.21,8.18,8.26,8.17,11053,19510923.0,1.1,-0.37,-0.03,2.21
2021-07-02,605500,8.13,8.11,8.14,8.09,9742,17005567.0,0.61,-0.86,-0.07,1.95
2021-07-05,605500,8.12,8.14,8.16,8.11,6860,11996443.0,0.62,0.37,0.03,1.37
2021-07-06,605500,8.14,8.21,8.25,8.08,9715,17109499.0,2.09,0.86,0.07,1.94
2021-07-07,605500,8.2,8.23,8.24,8.17,9417,16640279.0,0.85,0.24,0.02,1.88
2021-07-08,605500,8.23,8.14,8.24,8.13,10511,18439589.0,1.34,-1.09,-0.09,2.1
2021-07-09,605500,8.11,8.16,8.17,8.1,9646,16871929.0,0.86,0.25,0.02,1.93
2021-07-12,605500,8.18,8.23,8.29,8.17,14631,25921440.0,1.47,0.86,0.07,2.93
2021-07-13,605500,8.36,8.29,8.43,8.26,22588,40473040.0,2.07,0.73,0.06,4.52
2021-07-14,605500,8.28,8.24,8.35,8.24,13178,23485384.0,1.33,-0.6,-0.05,2.64
2021-07-15,605500,8.23,8.3,8.39,8.21,19554,34960795.0,2.18,0.73,0.06,3.91
2021-07-16,605500,8.31,8.28,8.33,8.25,13397,23904056.0,0.96,-0.24,-0.02,2.68
