日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-10-19,17.37,20.91,20.91,17.37,48,101409.0,24.55,45.01,6.49,0.03
2017-10-20,23.03,23.03,23.03,23.03,12,28032.0,0.0,10.14,2.12,0.01
2017-10-23,25.37,25.37,25.37,25.37,13,33435.0,0.0,10.16,2.34,0.01
2017-10-24,27.94,27.94,27.94,27.94,11,31097.0,0.0,10.13,2.57,0.01
2017-10-25,30.77,30.77,30.77,30.77,51,158610.0,0.0,10.13,2.83,0.03
2017-10-26,33.88,33.88,33.88,33.88,67,229207.0,0.0,10.11,3.11,0.04
2017-10-27,37.3,37.3,37.3,37.3,259,973902.0,0.0,10.09,3.42,0.15
2017-10-30,41.06,41.06,41.06,41.06,588,2433732.0,0.0,10.08,3.76,0.34
2017-10-31,45.2,45.2,45.2,45.2,603,2745459.0,0.0,10.08,4.14,0.34
2017-11-01,49.75,49.75,49.75,49.75,534,2674272.0,0.0,10.07,4.55,0.31
2017-11-02,54.76,54.76,54.76,54.76,1659,9139431.0,0.0,10.07,5.01,0.95
2017-11-03,59.17,56.87,59.17,55.77,110513,637864624.0,6.21,3.85,2.11,63.15
2017-11-06,57.18,55.48,60.56,54.74,86862,506075312.0,10.23,-2.44,-1.39,49.64
2017-11-07,53.67,57.27,57.35,51.27,77024,418743792.0,10.96,3.23,1.79,44.01
2017-11-08,56.02,63.03,63.03,55.67,95605,583807232.0,12.85,10.06,5.76,54.63
2017-11-09,60.67,60.62,62.65,59.42,76577,466881232.0,5.12,-3.82,-2.41,43.76
2017-11-10,59.67,60.97,64.27,59.26,81801,506327280.0,8.26,0.58,0.35,46.74
2017-11-13,60.6,60.97,62.44,57.91,60328,365323264.0,7.43,0.0,0.0,34.47
2017-11-14,59.57,56.38,60.66,55.87,59182,348690048.0,7.86,-7.53,-4.59,33.82
2017-11-15,55.5,53.46,55.95,52.17,41038,223421619.0,6.7,-5.18,-2.92,23.45
2017-11-16,52.73,50.37,54.15,50.31,32858,172572531.0,7.18,-5.78,-3.09,18.78
2017-11-17,50.37,46.26,50.61,45.68,31763,155340552.0,9.79,-8.16,-4.11,18.15
2017-11-20,46.23,47.57,47.65,44.4,22943,107448261.0,7.03,2.83,1.31,13.11
2017-11-21,47.33,46.62,47.66,44.69,26509,123320727.0,6.24,-2.0,-0.95,15.15
2017-11-22,45.97,49.15,50.09,45.97,40141,195776667.0,8.84,5.43,2.53,22.94
2017-11-23,48.68,46.83,49.02,46.74,25369,121983638.0,4.64,-4.72,-2.32,14.5
2017-11-24,46.17,44.84,47.87,44.72,19268,90140165.0,6.73,-4.25,-1.99,11.01
2017-11-27,45.67,42.38,45.97,42.17,18721,83011316.0,8.47,-5.49,-2.46,10.7
2017-11-28,42.67,43.43,43.48,42.3,12642,54907585.0,2.78,2.48,1.05,7.22
2017-11-29,42.87,42.11,43.32,40.8,19539,82211471.0,5.8,-3.04,-1.32,11.17
2017-11-30,42.07,41.98,42.87,41.55,13257,56407721.0,3.13,-0.31,-0.13,7.58
2017-12-01,41.99,42.02,42.58,41.48,13129,55632777.0,2.62,0.1,0.04,7.5
2017-12-04,41.79,37.79,41.79,37.79,24744,96955012.0,9.52,-10.07,-4.23,14.14
2017-12-05,37.66,35.9,38.17,35.19,16957,62290512.0,7.89,-5.0,-1.89,9.69
2017-12-06,36.07,37.42,37.63,35.67,15321,56817632.0,5.46,4.23,1.52,8.75
2017-12-07,37.06,37.77,39.07,36.74,16399,62660578.0,6.23,0.94,0.35,9.37
2017-12-08,37.68,40.44,41.58,37.35,30347,122310851.0,11.2,7.07,2.67,17.34
2017-12-11,39.97,40.09,40.95,39.67,17497,70840230.0,3.17,-0.87,-0.35,10.0
2017-12-12,39.77,37.95,40.64,37.63,19246,75973050.0,7.51,-5.34,-2.14,11.0
2017-12-13,38.12,41.78,41.78,37.72,42303,174726445.0,10.7,10.09,3.83,24.17
2017-12-14,41.72,42.74,43.12,40.85,41179,173473680.0,5.43,2.3,0.96,23.53
2017-12-15,42.25,41.52,42.42,40.97,24774,104147229.0,3.39,-2.85,-1.22,14.16
2017-12-18,41.57,42.14,42.17,40.92,20804,87451648.0,3.01,1.49,0.62,11.89
2017-12-19,41.72,42.39,42.55,41.47,22888,97010588.0,2.56,0.59,0.25,13.08
2017-12-20,41.87,40.5,42.17,40.22,18948,78543333.0,4.6,-4.46,-1.89,10.83
2017-12-21,40.18,40.99,41.55,38.67,20708,84184175.0,7.11,1.21,0.49,11.83
2017-12-22,40.9,40.02,41.61,39.99,14149,58345268.0,3.95,-2.37,-0.97,8.09
2017-12-25,39.69,39.29,39.69,37.95,20412,79759026.0,4.35,-1.82,-0.73,11.66
2017-12-26,38.87,41.67,42.82,38.82,30081,125347294.0,10.18,6.06,2.38,17.19
2017-12-27,41.36,42.28,44.17,41.18,41387,177823894.0,7.18,1.46,0.61,23.65
2017-12-28,41.89,43.44,44.67,41.69,32649,142434265.0,7.05,2.74,1.16,18.66
2017-12-29,42.82,43.17,43.66,42.09,22299,96633162.0,3.61,-0.62,-0.27,12.74
2018-01-02,43.18,43.18,43.66,42.47,16728,72558755.0,2.76,0.02,0.01,9.56
2018-01-03,43.13,42.97,43.18,41.97,17010,72984983.0,2.8,-0.49,-0.21,9.72
2018-01-04,42.7,42.27,43.21,42.02,14735,63322487.0,2.77,-1.63,-0.7,8.42
2018-01-05,42.42,41.29,42.6,41.28,15384,64883568.0,3.12,-2.32,-0.98,8.79
2018-01-08,41.37,41.67,41.87,39.93,15283,62860582.0,4.7,0.92,0.38,8.73
2018-01-09,41.55,42.02,42.36,41.15,16513,69665884.0,2.9,0.84,0.35,9.44
2018-01-10,41.99,40.33,41.99,39.67,14847,60818243.0,5.52,-4.02,-1.69,8.48
2018-01-11,39.72,41.38,42.07,39.68,18054,75251138.0,5.93,2.6,1.05,10.32
2018-01-12,40.87,41.59,42.15,40.83,15633,65536562.0,3.19,0.51,0.21,8.93
2018-01-15,41.47,39.48,41.47,39.37,14327,58022712.0,5.05,-5.07,-2.11,8.19
2018-01-16,39.48,41.66,42.37,39.17,22221,92436061.0,8.11,5.52,2.18,12.7
2018-01-17,41.78,45.86,45.86,41.57,46735,207054282.0,10.3,10.08,4.2,26.71
2018-01-18,46.57,44.57,46.57,44.11,39954,180395422.0,5.36,-2.81,-1.29,22.83
2018-01-19,44.27,43.77,45.87,43.73,37907,171007545.0,4.8,-1.79,-0.8,21.66
2018-01-22,43.39,42.17,43.47,40.35,25505,107454526.0,7.13,-3.66,-1.6,14.57
