日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-06-10,002430,8.59,8.4,8.86,7.58,473722,1125748237.15,24.11,58.19,3.09,83.4
2010-06-11,002430,8.27,9.6,9.6,8.17,381287,969672385.98,17.02,14.29,1.2,67.13
2010-06-17,002430,9.75,8.43,9.89,8.35,274870,707502145.85,16.04,-12.19,-1.17,48.39
2010-06-18,002430,8.1,7.66,8.27,7.38,167256,384091791.53,10.56,-9.13,-0.77,29.45
2010-06-21,002430,7.52,7.88,8.01,7.19,95988,218731989.01,10.7,2.87,0.22,16.9
2010-06-22,002430,7.73,7.95,8.26,7.7,99649,234308613.2,7.11,0.89,0.07,17.54
2010-06-23,002430,7.74,7.61,7.82,7.43,71177,161471300.56,4.91,-4.28,-0.34,12.53
2010-06-24,002430,7.48,8.12,8.33,7.48,100236,235432961.06,11.17,6.7,0.51,17.65
2010-06-25,002430,7.98,8.28,8.47,7.85,89057,211216719.75,7.64,1.97,0.16,15.68
2010-06-28,002430,8.21,8.5,8.97,8.15,110112,272389463.21,9.9,2.66,0.22,19.39
2010-06-29,002430,8.42,8.39,8.76,7.83,87860,211034779.82,10.94,-1.29,-0.11,15.47
2010-06-30,002430,8.27,8.69,8.75,8.12,112101,274175136.26,7.51,3.58,0.3,19.74
2010-07-01,002430,8.57,8.2,8.69,7.97,84176,202077006.74,8.29,-5.64,-0.49,14.82
2010-07-02,002430,7.96,7.95,8.35,7.53,77496,181366390.44,10.0,-3.05,-0.25,13.64
2010-07-05,002430,7.68,7.79,7.95,7.57,35928,82241321.86,4.78,-2.01,-0.16,6.33
2010-07-06,002430,7.6,8.39,8.44,7.6,69139,164816841.67,10.78,7.7,0.6,12.17
2010-07-07,002430,8.3,8.6,8.86,8.27,74510,183670569.95,7.03,2.5,0.21,13.12
2010-07-08,002430,8.52,8.27,8.69,8.06,64245,155276691.44,7.33,-3.84,-0.33,11.31
2010-07-09,002430,8.12,8.85,9.2,8.02,72385,179036848.18,14.27,7.01,0.58,12.74
2010-07-12,002430,8.71,8.83,8.96,8.57,62502,155791575.96,4.41,-0.23,-0.02,11.0
2010-07-13,002430,8.66,8.66,8.75,8.46,43564,107384515.75,3.28,-1.93,-0.17,7.67
2010-07-14,002430,8.86,8.55,9.23,8.52,70518,178067588.9,8.2,-1.27,-0.11,12.42
2010-07-15,002430,8.56,8.28,8.67,8.19,54642,132319507.61,5.61,-3.16,-0.27,9.62
2010-07-16,002430,8.17,8.31,8.43,7.88,38089,90002876.07,6.64,0.36,0.03,6.71
2010-07-19,002430,8.11,8.27,8.45,8.0,33417,80083102.07,5.42,-0.48,-0.04,5.88
2010-07-20,002430,8.28,8.76,8.76,8.18,50425,123633370.52,7.01,5.93,0.49,8.88
2010-07-21,002430,8.76,8.76,8.95,8.67,49443,123991497.47,3.2,0.0,0.0,8.7
2010-07-22,002430,8.81,8.84,8.91,8.57,37240,93009951.67,3.88,0.91,0.08,6.56
2010-07-23,002430,8.78,8.99,9.06,8.59,47717,119675839.11,5.32,1.7,0.15,8.4
2010-07-26,002430,8.98,8.76,8.98,8.68,34917,87494560.0,3.34,-2.56,-0.23,6.15
2010-07-27,002430,8.72,8.64,8.97,8.62,46451,116388539.5,4.0,-1.37,-0.12,8.18
2010-07-28,002430,8.58,8.85,8.9,8.58,44462,111006193.06,3.7,2.43,0.21,7.83
2010-07-29,002430,8.83,9.16,9.31,8.77,71686,184697393.0,6.1,3.5,0.31,12.62
2010-07-30,002430,9.05,9.04,9.23,8.94,35988,92098431.09,3.17,-1.31,-0.12,6.34
2010-08-02,002430,9.0,9.16,9.49,9.0,63224,163657750.98,5.42,1.33,0.12,11.13
2010-08-03,002430,9.07,8.88,9.24,8.87,48396,123677813.3,4.04,-3.06,-0.28,8.52
2010-08-04,002430,8.82,9.65,9.8,8.82,87001,229479835.93,11.04,8.67,0.77,15.32
2010-08-05,002430,9.58,9.53,9.94,9.42,81409,218517276.96,5.39,-1.24,-0.12,14.33
2010-08-06,002430,9.47,9.93,10.15,9.36,87665,238655321.59,8.29,4.2,0.4,15.43
2010-08-09,002430,9.9,10.72,10.82,9.83,113201,317033369.55,9.97,7.96,0.79,19.93
2010-08-10,002430,10.51,10.37,10.86,10.29,74132,212199184.61,5.32,-3.26,-0.35,13.05
2010-08-11,002430,10.37,10.37,10.58,10.11,42209,118749972.79,4.53,0.0,0.0,7.43
2010-08-12,002430,10.29,10.16,10.65,10.09,45314,128565317.93,5.4,-2.03,-0.21,7.98
2010-08-13,002430,10.2,10.44,10.48,9.94,34327,96159449.83,5.31,2.76,0.28,6.04
2010-08-16,002430,10.48,10.65,10.88,10.3,42474,122278818.99,5.56,2.01,0.21,7.48
2010-08-17,002430,10.66,10.45,10.76,10.3,32586,92952435.8,4.32,-1.88,-0.2,5.74
2010-08-18,002430,10.45,10.12,10.54,10.12,30136,84520965.95,4.02,-3.16,-0.33,5.31
2010-08-19,002430,10.21,10.25,10.49,10.1,26162,73527532.08,3.85,1.28,0.13,4.61
2010-08-20,002430,10.15,9.92,10.22,9.81,28040,77203914.15,4.0,-3.22,-0.33,4.94
2010-08-23,002430,9.91,10.13,10.18,9.87,16686,46069735.46,3.13,2.12,0.21,2.94
2010-08-24,002430,10.14,10.24,10.36,9.96,26361,73467674.94,3.95,1.09,0.11,4.64
2010-08-25,002430,10.16,10.05,10.22,10.01,18121,50162308.6,2.05,-1.86,-0.19,3.19
2010-08-26,002430,10.05,10.42,10.42,10.05,16904,47352427.04,3.68,3.68,0.37,2.98
2010-08-27,002430,10.39,10.4,10.72,10.28,18808,53594257.79,4.22,-0.19,-0.02,3.31
2010-08-30,002430,10.58,10.81,10.93,10.39,39443,114047425.15,5.19,3.94,0.41,6.94
2010-08-31,002430,10.84,10.74,11.17,10.56,35562,103395103.47,5.64,-0.65,-0.07,6.26
2010-09-01,002430,10.74,10.21,10.87,10.0,32362,91699793.33,8.1,-4.93,-0.53,5.7
2010-09-02,002430,10.28,10.35,10.37,10.0,32443,90589738.71,3.62,1.37,0.14,5.71
2010-09-03,002430,10.35,10.41,10.49,9.99,40415,112868820.0,4.83,0.58,0.06,7.12
2010-09-06,002430,10.53,10.21,10.53,10.05,25115,70262220.21,4.61,-1.92,-0.2,4.42
2010-09-07,002430,10.2,10.13,10.2,10.01,16495,45640244.68,1.86,-0.78,-0.08,2.9
2010-09-08,002430,10.13,10.05,10.22,9.87,32926,90620026.06,3.46,-0.79,-0.08,5.8
2010-09-09,002430,10.05,10.1,10.31,9.97,27253,75658425.33,3.38,0.5,0.05,4.8
2010-09-10,002430,10.07,10.1,10.1,9.55,74246,201333561.91,5.45,0.0,0.0,10.46
2010-09-13,002430,10.04,10.67,10.89,9.91,51824,147487125.54,9.7,5.64,0.57,7.3
2010-09-14,002430,10.6,10.74,10.84,10.25,43477,124635073.34,5.53,0.66,0.07,6.12
2010-09-15,002430,10.72,10.24,10.81,10.15,36493,103933441.01,6.15,-4.66,-0.5,5.14
2010-09-16,002430,10.15,9.97,10.42,9.7,26615,73312569.49,7.03,-2.64,-0.27,3.75
2010-09-17,002430,9.95,9.89,10.1,9.83,14795,40481125.04,2.71,-0.8,-0.08,2.08
2010-09-20,002430,9.86,9.87,10.09,9.69,11420,31182691.2,4.04,-0.2,-0.02,1.61
2010-09-21,002430,9.86,9.46,10.01,9.25,26757,71041432.81,7.7,-4.15,-0.41,3.77
2010-09-27,002430,9.46,9.73,9.79,9.46,16119,43000986.43,3.49,2.85,0.27,2.27
2010-09-28,002430,9.7,9.38,9.73,9.26,15776,41874405.1,4.83,-3.6,-0.35,2.22
2010-09-29,002430,9.41,9.26,9.6,9.06,13262,34719587.01,5.76,-1.28,-0.12,1.87
2010-09-30,002430,9.16,9.74,9.75,9.13,18739,49234712.89,6.7,5.18,0.48,2.64
2010-10-08,002430,9.69,10.01,10.09,9.6,26499,72233995.12,5.03,2.77,0.27,3.73
2010-10-11,002430,10.01,9.75,10.2,9.7,32298,88166041.37,5.0,-2.6,-0.26,4.55
2010-10-12,002430,9.72,9.75,9.9,9.72,15980,43282778.0,1.85,0.0,0.0,2.25
2010-10-13,002430,9.73,9.54,9.75,9.26,20991,55581748.06,5.03,-2.15,-0.21,2.96
2010-10-15,002430,9.25,8.76,9.3,8.67,37599,95646229.97,6.6,-8.18,-0.78,5.3
2010-10-18,002430,8.76,9.26,9.4,8.03,57890,142174354.33,15.64,5.71,0.5,8.15
2010-10-19,002430,9.11,9.26,9.47,8.91,26664,69142505.42,6.05,0.0,0.0,3.76
2010-10-20,002430,9.08,9.29,9.41,8.91,21368,55660869.27,5.4,0.32,0.03,3.01
2010-10-21,002430,9.26,9.26,9.48,9.15,13438,34838730.14,3.55,-0.32,-0.03,1.89
2010-10-22,002430,9.5,9.58,9.75,9.37,30447,81458451.88,4.1,3.46,0.32,4.29
2010-10-25,002430,9.65,10.2,10.34,9.63,39947,110820472.87,7.41,6.47,0.62,5.63
2010-10-26,002430,10.25,10.32,10.48,10.07,35553,99569789.72,4.02,1.18,0.12,5.01
2010-10-27,002430,10.28,10.34,10.73,10.12,37880,107385765.71,5.91,0.19,0.02,5.34
2010-10-28,002430,10.35,10.49,10.7,10.25,31470,90007442.29,4.35,1.45,0.15,4.43
2010-10-29,002430,10.57,10.93,11.16,10.42,40755,119306876.17,7.05,4.19,0.44,5.74
2010-11-01,002430,10.96,11.18,11.48,10.84,39702,118817770.48,5.86,2.29,0.25,5.59
2010-11-02,002430,11.19,10.99,11.43,10.84,51073,151952782.82,5.28,-1.7,-0.19,7.19
2010-11-03,002430,10.99,10.52,11.06,10.43,27458,79015225.07,5.73,-4.28,-0.47,3.87
2010-11-04,002430,10.52,10.78,10.89,10.52,17713,51110255.36,3.52,2.47,0.26,2.49
2010-11-05,002430,10.89,10.72,10.96,10.64,18249,52844568.05,2.97,-0.56,-0.06,2.57
2010-11-08,002430,10.84,11.31,11.36,10.72,49380,146461282.63,5.97,5.5,0.59,6.95
2010-11-09,002430,11.23,11.22,11.48,10.99,32769,97916992.95,4.33,-0.8,-0.09,4.62
2010-11-10,002430,11.23,11.86,12.06,11.18,56687,176353925.69,7.84,5.7,0.64,7.98
2010-11-11,002430,11.78,11.54,12.12,11.42,46395,144555954.26,5.9,-2.7,-0.32,6.53
2010-11-12,002430,11.33,10.73,11.67,10.47,43002,126784112.23,10.4,-7.02,-0.81,6.06
2010-11-15,002430,10.93,11.41,11.5,10.77,30768,92227203.47,6.8,6.34,0.68,4.33
2010-11-16,002430,11.42,11.25,11.65,10.52,44819,134079833.38,9.9,-1.4,-0.16,6.31
2010-11-17,002430,10.84,10.39,11.23,10.25,28971,83588102.79,8.71,-7.64,-0.86,4.08
2010-11-18,002430,10.74,10.59,10.74,10.25,17104,48761513.92,4.72,1.92,0.2,2.41
