日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-10-19,13.4,16.08,16.08,13.4,26060,41710406.54,23.99,43.96,4.91,4.28
2022-10-20,17.69,17.69,17.69,17.69,4370,7730936.87,0.0,10.01,1.61,0.72
2022-10-21,19.46,19.46,19.46,19.46,4542,8837973.06,0.0,10.01,1.77,0.75
2022-10-24,21.41,21.41,21.41,21.41,20125,43087860.51,0.0,10.02,1.95,3.3
2022-10-25,21.41,23.55,23.55,21.38,432028,977807993.17,10.14,10.0,2.14,70.89
2022-10-26,21.86,21.2,22.49,21.2,278432,599456461.33,5.48,-9.98,-2.35,45.69
2022-10-27,19.08,19.08,19.58,19.08,122143,233087687.45,2.36,-10.0,-2.12,20.04
2022-10-28,19.1,20.99,20.99,17.68,336528,648807505.61,17.35,10.01,1.91,55.22
2022-10-31,19.99,18.91,20.5,18.89,247982,486101931.34,7.67,-9.91,-2.08,40.69
2022-11-01,19.11,19.11,19.58,18.18,206101,388061621.81,7.4,1.06,0.2,33.82
2022-11-02,18.7,18.75,19.5,18.51,175742,332780972.76,5.18,-1.88,-0.36,28.84
2022-11-03,18.27,18.76,20.45,18.0,285764,544668646.57,13.07,0.05,0.01,46.89
2022-11-04,18.33,18.37,18.95,18.01,209467,386254341.0,5.01,-2.08,-0.39,34.37
