日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-09-06,300260,6.99,6.75,7.58,6.73,117612,484362272.0,18.56,47.38,2.17,87.77
2011-09-07,300260,6.43,6.71,6.97,6.29,78464,297812096.0,10.07,-0.59,-0.04,58.56
2011-09-08,300260,6.56,6.43,6.84,6.38,59321,224364332.0,6.86,-4.17,-0.28,44.27
2011-09-09,300260,6.66,7.12,7.12,6.66,66312,266771231.0,7.15,10.73,0.69,49.49
2011-09-13,300260,6.82,6.65,6.91,6.43,45528,174178006.0,6.74,-6.6,-0.47,33.98
2011-09-14,300260,6.8,7.06,7.08,6.67,52013,205446546.0,6.17,6.17,0.41,38.82
2011-09-15,300260,6.95,6.94,7.23,6.86,49261,198381984.0,5.24,-1.7,-0.12,36.76
2011-09-16,300260,6.95,6.61,6.95,6.38,47652,180583653.0,8.21,-4.76,-0.33,35.56
2011-09-19,300260,6.62,6.47,6.8,6.47,35785,136280899.0,4.99,-2.12,-0.14,26.71
2011-09-20,300260,6.09,5.84,6.24,5.78,46314,158627804.0,7.11,-9.74,-0.63,34.56
2011-09-21,300260,5.78,6.05,6.12,5.62,35810,122119223.0,8.56,3.6,0.21,26.72
2011-09-22,300260,5.91,5.47,5.95,5.46,34611,114254189.0,8.1,-9.59,-0.58,25.83
2011-09-23,300260,5.32,5.56,5.6,5.3,23320,74524184.0,5.48,1.65,0.09,17.4
2011-09-26,300260,5.47,5.35,5.6,5.31,15363,48525747.0,5.22,-3.78,-0.21,11.47
2011-09-27,300260,5.42,5.41,5.47,5.09,22834,70595759.0,7.1,1.12,0.06,17.04
2011-09-28,300260,5.45,5.29,5.6,5.18,19180,60661161.0,7.76,-2.22,-0.12,14.31
2011-09-29,300260,5.14,4.95,5.26,4.95,15324,45582367.0,5.86,-6.43,-0.34,11.44
2011-09-30,300260,4.96,4.9,5.02,4.73,11547,33009779.0,5.86,-1.01,-0.05,8.62
2011-10-10,300260,4.9,4.92,4.99,4.8,8241,23667070.0,3.88,0.41,0.02,6.15
2011-10-11,300260,5.05,5.36,5.45,5.05,36717,113908211.0,8.13,8.94,0.44,27.4
2011-10-12,300260,5.21,5.54,5.59,5.14,31281,98218635.0,8.4,3.36,0.18,23.34
2011-10-13,300260,5.5,5.5,5.65,5.41,26884,86200587.0,4.33,-0.72,-0.04,20.06
2011-10-14,300260,5.51,5.75,5.79,5.45,30647,100316570.0,6.18,4.55,0.25,22.87
2011-10-17,300260,5.72,5.87,5.96,5.62,29604,99582648.0,5.91,2.09,0.12,22.09
2011-10-18,300260,5.72,5.35,5.81,5.32,30935,100220717.0,8.35,-8.86,-0.52,23.09
2011-10-19,300260,5.32,5.43,5.53,5.3,16016,50491016.0,4.3,1.5,0.08,11.95
2011-10-20,300260,5.29,5.06,5.29,4.93,21044,62384000.0,6.63,-6.81,-0.37,15.7
2011-10-21,300260,5.04,4.95,5.09,4.86,13575,39414606.0,4.55,-2.17,-0.11,10.13
2011-10-24,300260,4.95,5.09,5.11,4.69,15602,44956055.0,8.48,2.83,0.14,11.64
2011-10-25,300260,5.06,5.44,5.6,5.03,28236,87921435.0,11.2,6.88,0.35,21.07
2011-10-26,300260,5.36,5.42,5.54,5.34,22375,70810689.0,3.68,-0.37,-0.02,16.7
2011-10-27,300260,5.36,5.58,5.65,5.36,23217,74473805.0,5.35,2.95,0.16,17.33
2011-10-28,300260,5.66,5.61,5.66,5.45,22388,72268182.0,3.76,0.54,0.03,16.71
2011-10-31,300260,5.57,5.63,5.69,5.53,17963,58313775.0,2.85,0.36,0.02,13.41
2011-11-01,300260,5.55,5.54,5.58,5.36,25559,81311460.0,3.91,-1.6,-0.09,19.07
2011-11-02,300260,5.42,5.78,5.84,5.39,26711,87337437.0,8.12,4.33,0.24,19.93
2011-11-03,300260,5.74,5.6,6.0,5.6,34699,116210582.0,6.92,-3.11,-0.18,25.89
2011-11-04,300260,5.62,5.55,5.69,5.49,18491,59765481.0,3.57,-0.89,-0.05,13.8
2011-11-08,300260,5.53,5.24,5.55,5.23,17854,56127349.0,5.77,-5.59,-0.31,13.32
2011-11-09,300260,5.27,5.39,5.39,5.21,13001,40058123.0,3.44,2.86,0.15,9.7
2011-11-10,300260,5.3,5.49,5.62,5.28,25445,80852985.0,6.31,1.86,0.1,18.99
2011-11-11,300260,5.41,5.45,5.59,5.41,13171,41942091.0,3.28,-0.73,-0.04,9.83
2011-11-14,300260,5.51,6.04,6.04,5.5,41950,143909740.0,9.91,10.83,0.59,31.31
2011-11-15,300260,6.04,6.1,6.12,5.91,33649,116984928.0,3.48,0.99,0.06,25.11
2011-11-16,300260,6.1,5.86,6.1,5.8,22953,79014478.0,4.92,-3.93,-0.24,17.13
2011-11-17,300260,5.88,6.15,6.39,5.88,36341,128526136.0,8.7,4.95,0.29,27.12
2011-11-18,300260,6.05,6.1,6.12,5.88,20474,71159721.0,3.9,-0.81,-0.05,15.28
2011-11-21,300260,6.06,6.05,6.1,5.81,15505,53233223.0,4.75,-0.82,-0.05,11.57
